true,optimal,optimal_relaxed,backpack,backpack_relaxed
251,0.0,0.0,451.1,255.4
501,0.0,0.0,837.9,508.9
751,0.0,0.0,1206.0,764.8
1001,0.0,0.0,1672.0,1020.9
1251,0.0,0.0,2004.0,1270.1
1501,0.0,0.0,2470.6,1526.1
1751,0.0,0.0,2789.4,1774.5
2001,0.0,0.0,3513.8,2030.8
2251,0.0,0.0,3901.6,2290.7
2501,0.0,0.0,4232.6,2540.3
2751,0.0,0.0,4646.0,2787.1
3001,0.0,0.0,4985.7,3063.3
3251,0.0,0.0,5335.4,3311.1
3501,0.0,0.0,5825.3,3553.3
3751,0.0,0.0,6011.5,3805.3
4001,0.0,0.0,6510.5,4065.8
4251,0.0,0.0,7529.9,4297.9
4501,0.0,0.0,7585.3,4584.8
4751,0.0,0.0,7920.6,4820.7
5001,0.0,0.0,8317.5,5104.9
5251,0.0,0.0,8329.2,5320.8
5501,0.0,0.0,8883.6,5589.5
5751,0.0,0.0,9175.5,5860.1
6001,0.0,0.0,9897.2,6103.6
6251,0.0,0.0,10379.0,6375.5
6501,0.0,0.0,10725.1,6591.4
6751,0.0,0.0,11039.2,6870.9
7001,0.0,0.0,11406.2,7098.8
7251,0.0,0.0,11670.7,7378.6
7501,0.0,0.0,12215.7,7649.1
7751,0.0,0.0,13192.2,7864.7
8001,0.0,0.0,13071.4,8144.6
8251,0.0,0.0,13778.8,8424.8
8501,0.0,0.0,14325.6,8626.7
8751,0.0,0.0,14899.1,8876.1
9001,0.0,0.0,14550.4,9128.8
9251,0.0,0.0,15325.0,9398.0
9501,0.0,0.0,16046.1,9623.8
9751,0.0,0.0,16600.7,9942.3
10001,0.0,0.0,17350.9,10180.0
10251,0.0,0.0,17257.3,10414.3
10501,0.0,0.0,17303.6,10701.6
10751,0.0,0.0,16830.6,10943.5
11001,0.0,0.0,18341.6,11144.9
11251,0.0,0.0,18360.2,11522.5
11501,0.0,0.0,19855.0,11774.7
11751,0.0,0.0,18984.6,11942.5
12001,0.0,0.0,18813.7,12215.7
12251,0.0,0.0,19316.1,12489.2
12501,0.0,0.0,19437.7,12701.9
12751,0.0,0.0,21413.3,12942.1
13001,0.0,0.0,21706.4,13144.3
13251,0.0,0.0,22871.0,13471.1
13501,0.0,0.0,22268.9,13722.5
13751,0.0,0.0,22050.5,13959.3
14001,0.0,0.0,22405.6,14200.1
14251,0.0,0.0,23703.7,14458.8
14501,0.0,0.0,23790.5,14641.6
14751,0.0,0.0,23586.2,15039.8
15001,0.0,0.0,25867.6,15323.8
15251,0.0,0.0,24909.6,15492.6
15501,0.0,0.0,26279.2,15758.9
15751,0.0,0.0,26658.2,16020.0
16001,0.0,0.0,26881.2,16284.2
16251,0.0,0.0,26467.4,16501.1
16501,0.0,0.0,27438.6,16787.7
16751,0.0,0.0,28238.5,17016.0
17001,0.0,0.0,28147.5,17199.5
17251,0.0,0.0,30766.7,17641.5
17501,0.0,0.0,28335.2,17852.2
17751,0.0,0.0,28897.1,18040.9
18001,0.0,0.0,30526.8,18274.2
18251,0.0,0.0,30930.3,18555.6
18501,0.0,0.0,30299.2,18773.7
18751,0.0,0.0,29810.9,19132.7
19001,0.0,0.0,30256.6,19253.1
19251,0.0,0.0,31397.9,19594.7
19501,0.0,0.0,31879.1,19870.9
19751,0.0,0.0,33339.0,20093.3
20001,0.0,0.0,32009.3,20331.1
