true,optimal,optimal_relaxed,backpack,backpack_relaxed
251,0.0,0.0,255.4,255.4
501,0.0,0.0,508.9,508.9
751,0.0,0.0,764.8,764.8
1001,0.0,0.0,1020.9,1020.9
1251,0.0,0.0,1270.1,1270.1
1501,0.0,0.0,1526.1,1526.1
1751,0.0,0.0,1774.5,1774.5
2001,0.0,0.0,2030.8,2030.8
2251,0.0,0.0,2290.7,2290.7
2501,0.0,0.0,2540.3,2540.3
2751,0.0,0.0,2787.1,2787.1
3001,0.0,0.0,3063.3,3063.3
3251,0.0,0.0,3311.1,3311.1
3501,0.0,0.0,3553.3,3553.3
3751,0.0,0.0,3805.3,3805.3
4001,0.0,0.0,4065.8,4065.8
4251,0.0,0.0,4297.9,4297.9
4501,0.0,0.0,4584.8,4584.8
4751,0.0,0.0,4820.7,4820.7
5001,0.0,0.0,5104.9,5104.9
5251,0.0,0.0,5320.8,5320.8
5501,0.0,0.0,5589.5,5589.5
5751,0.0,0.0,5860.1,5860.1
6001,0.0,0.0,6103.6,6103.6
6251,0.0,0.0,6375.5,6375.5
6501,0.0,0.0,6591.4,6591.4
6751,0.0,0.0,6870.9,6870.9
7001,0.0,0.0,7098.8,7098.8
7251,0.0,0.0,7378.6,7378.6
7501,0.0,0.0,7649.1,7649.1
7751,0.0,0.0,7864.7,7864.7
8001,0.0,0.0,8144.6,8144.6
8251,0.0,0.0,8424.8,8424.8
8501,0.0,0.0,8626.7,8626.7
8751,0.0,0.0,8876.1,8876.1
9001,0.0,0.0,9128.8,9128.8
9251,0.0,0.0,9398.0,9398.0
9501,0.0,0.0,9623.8,9623.8
9751,0.0,0.0,9942.3,9942.3
10001,0.0,0.0,10180.0,10180.0
10251,0.0,0.0,10414.3,10414.3
10501,0.0,0.0,10701.6,10701.6
10751,0.0,0.0,10943.5,10943.5
11001,0.0,0.0,11144.9,11144.9
11251,0.0,0.0,11522.5,11522.5
11501,0.0,0.0,11774.7,11774.7
11751,0.0,0.0,11942.5,11942.5
12001,0.0,0.0,12215.7,12215.7
12251,0.0,0.0,12489.2,12489.2
12501,0.0,0.0,12701.9,12701.9
12751,0.0,0.0,12942.1,12942.1
13001,0.0,0.0,13144.3,13144.3
13251,0.0,0.0,13471.1,13471.1
13501,0.0,0.0,13722.5,13722.5
13751,0.0,0.0,13959.3,13959.3
14001,0.0,0.0,14200.1,14200.1
14251,0.0,0.0,14458.8,14458.8
14501,0.0,0.0,14641.6,14641.6
14751,0.0,0.0,15039.8,15039.8
15001,0.0,0.0,15323.8,15323.8
15251,0.0,0.0,15492.6,15492.6
15501,0.0,0.0,15758.9,15758.9
15751,0.0,0.0,16020.0,16020.0
16001,0.0,0.0,16284.2,16284.2
16251,0.0,0.0,16501.1,16501.1
16501,0.0,0.0,16787.7,16787.7
16751,0.0,0.0,17016.0,17016.0
17001,0.0,0.0,17199.5,17199.5
17251,0.0,0.0,17641.5,17641.5
17501,0.0,0.0,17852.2,17852.2
17751,0.0,0.0,18040.9,18040.9
18001,0.0,0.0,18274.2,18274.2
18251,0.0,0.0,18555.6,18555.6
18501,0.0,0.0,18773.7,18773.7
18751,0.0,0.0,19132.7,19132.7
19001,0.0,0.0,19253.1,19253.1
19251,0.0,0.0,19594.7,19594.7
19501,0.0,0.0,19870.9,19870.9
19751,0.0,0.0,20093.3,20093.3
20001,0.0,0.0,20331.1,20331.1
