true,optimal,optimal_relaxed,backpack,backpack_relaxed
251,0.6248,0.6732,0.0127,0.0075
501,0.8846,0.9378,0.0528,0.0299
751,1.0522,1.0429,0.1049,0.0668
1001,1.1242,1.1558,0.188,0.1178
1251,1.1916,1.27,0.3101,0.189
1501,1.1404,1.209,0.4634,0.2954
1751,1.1898,1.3277,0.5766,0.3939
2001,1.2242,1.1921,0.923,0.5393
2251,1.2534,1.2322,1.0523,0.7281
2501,1.2285,1.243,1.3804,0.8287
2751,1.2522,1.247,1.6498,1.0286
3001,1.2167,1.2322,1.7575,1.0389
3251,1.2229,1.2265,2.3058,1.339
3501,1.2327,1.2192,2.6679,1.567
3751,1.1666,1.2085,2.7894,1.7164
4001,1.1293,1.1733,3.412,2.0366
4251,1.2532,1.2558,4.2152,2.3407
4501,1.1968,1.2644,4.3126,2.4715
4751,1.2245,1.2541,5.1519,3.0089
5001,1.207,1.2267,5.6447,3.3225
5251,1.2088,1.2028,5.7547,3.6697
5501,1.2083,1.257,6.1173,3.6981
5751,1.2274,1.2363,6.8148,4.1996
6001,1.1939,1.1517,7.8243,4.7961
6251,1.1977,1.1975,8.2699,4.8428
6501,1.1245,1.1694,9.2058,5.7368
6751,1.2522,1.2216,9.7417,5.793
7001,1.2529,1.1911,10.083,6.2439
7251,1.1818,1.1738,10.7875,6.6992
7501,1.2504,1.1958,11.6963,7.0469
7751,1.2998,1.2254,13.218,7.8751
8001,1.2176,1.1845,13.6172,8.3431
8251,1.2496,1.1848,15.8317,9.3841
8501,1.2146,1.2189,15.5699,9.3268
8751,1.1807,1.1577,17.1336,10.1065
9001,1.2184,1.1964,16.7359,11.0202
9251,1.1226,1.1316,18.0279,10.238
9501,1.1926,1.2196,19.7972,12.2279
9751,1.1902,1.1828,20.3328,12.5568
10001,1.2185,1.2299,22.437,12.5194
10251,1.1602,1.1854,21.9052,11.9552
10501,1.2011,1.1996,24.2531,15.0408
10751,1.2384,1.1806,23.9936,15.7311
11001,1.2482,1.1682,27.2945,16.0212
11251,1.1481,1.1587,25.5194,15.2571
11501,1.1799,1.1604,28.6615,16.2975
11751,1.1301,1.1785,28.5818,17.2795
12001,1.264,1.1926,28.5023,18.1518
12251,1.1835,1.1557,31.3278,19.4673
12501,1.1409,1.1557,29.9014,19.6603
12751,1.0961,1.1465,35.8877,21.2954
13001,1.1135,0.9151,37.8866,20.6867
13251,1.1644,1.1575,39.5518,22.24
13501,1.154,1.1731,37.3389,20.2736
13751,1.1466,1.1484,39.873,24.3196
14001,1.0512,1.1078,41.8425,22.8602
14251,1.1704,1.1098,43.137,26.0495
14501,0.7792,0.8527,37.4864,24.2528
14751,1.1943,1.2513,43.5108,25.8134
15001,0.9281,0.8456,45.0153,24.1537
15251,1.0923,1.1177,42.2327,25.1489
15501,1.2185,1.1719,51.1058,29.2289
15751,0.7006,0.8341,45.7192,25.0902
16001,1.1969,1.2011,54.5228,32.89
16251,1.1036,1.1499,54.6778,34.8334
16501,0.8119,1.0839,46.3447,27.7364
16751,1.1373,1.1767,58.8688,34.8224
17001,0.6236,0.689,52.8832,32.51
17251,0.7111,0.7282,60.1041,27.3697
17501,1.07,1.0939,50.6722,24.237
17751,0.7727,1.0827,51.7589,25.4927
18001,0.5927,0.6057,47.8684,21.5086
18251,0.5347,0.538,37.5636,21.8664
18501,0.5664,0.5619,40.4463,22.8675
18751,0.5489,0.549,38.7986,21.8123
19001,0.647,0.6947,63.1936,33.3096
19251,0.602,0.6061,46.0004,24.6501
19501,1.149,1.1771,78.8761,43.3621
19751,0.673,0.6182,68.0794,27.1015
20001,0.5259,0.5185,39.4604,22.749
