true,optimal,optimal_relaxed,backpack,backpack_relaxed
251,0.1765,0.1664,0.0085,0.007
501,0.2134,0.1819,0.0314,0.0296
751,0.1799,0.1806,0.0647,0.0641
1001,0.1929,0.1805,0.1253,0.1216
1251,0.1794,0.1868,0.2065,0.1852
1501,0.18,0.1812,0.2754,0.2659
1751,0.1805,0.1797,0.3747,0.3756
2001,0.2163,0.1856,0.501,0.5927
2251,0.1915,0.1912,0.6443,0.615
2501,0.193,0.1943,0.8255,0.8513
2751,0.1943,0.1931,0.9726,0.9828
3001,0.1868,0.1823,0.9684,1.0555
3251,0.182,0.2046,1.396,1.3014
3501,0.1916,0.1814,1.6018,1.5826
3751,0.2055,0.1889,1.658,1.6917
4001,0.198,0.2157,1.9976,2.0142
4251,0.1863,0.1851,2.4598,2.3373
4501,0.1992,0.2148,2.4222,2.4179
4751,0.1856,0.2036,3.9046,4.3014
5001,0.2021,0.199,3.2355,3.3787
5251,0.1922,0.2236,3.6324,3.6991
5501,0.2003,0.2128,3.6129,3.698
5751,0.1863,0.1955,4.1716,4.2729
6001,0.2018,0.1999,4.9233,4.8136
6251,0.1923,0.196,4.8994,4.8216
6501,0.2077,0.1881,5.7888,5.8638
6751,0.206,0.1934,5.8548,5.8018
7001,0.2079,0.1864,6.2629,6.3513
7251,0.1998,0.2155,6.6424,6.7147
7501,0.1912,0.188,7.1004,7.0845
7751,0.1988,0.1863,7.9245,7.9929
8001,0.1986,0.1921,8.3103,8.3049
8251,0.1967,0.214,9.2779,9.2777
8501,0.2138,0.1888,9.3718,9.3515
8751,0.2079,0.1849,10.2046,10.494
9001,0.2057,0.1923,10.9281,10.8253
9251,0.1852,0.2028,10.4011,10.6718
9501,0.1956,0.1871,12.2473,12.2178
9751,0.1863,0.1862,12.5224,12.6611
10001,0.1926,0.192,12.5952,12.7233
10251,0.1977,0.1958,12.0752,12.5816
10501,0.2014,0.191,14.5397,14.791
10751,0.185,0.19,15.9109,15.7185
11001,0.198,0.1949,16.2496,16.2584
11251,0.1824,0.1849,16.2473,15.8052
11501,0.1834,0.1804,16.1031,16.0646
11751,0.2049,0.1921,17.7246,17.7718
12001,0.1841,0.1802,17.7806,17.7373
12251,0.1847,0.1892,19.3291,19.7484
12501,0.1822,0.1852,20.3605,20.0115
12751,0.1797,0.1856,20.8668,20.7856
13001,0.1875,0.1923,22.2172,22.4695
13251,0.1975,0.193,23.3986,23.3971
13501,0.1846,0.1845,20.5735,20.9715
13751,0.1809,0.1815,24.9853,25.1834
14001,0.1812,0.1828,24.6329,24.7487
14251,0.1874,0.1898,26.281,25.6549
14501,0.1796,0.1793,27.55,26.9364
14751,0.1809,0.1826,25.8609,25.1143
15001,0.1886,0.1953,28.0863,28.3168
15251,0.1572,0.1828,29.2985,27.7432
15501,0.182,0.1851,30.3711,30.0814
15751,0.1559,0.141,30.7618,29.8425
16001,0.1894,0.1799,39.5575,34.2091
16251,0.1808,0.1885,34.8719,34.9624
16501,0.1823,0.1817,32.6083,30.3739
16751,0.1949,0.1954,36.1397,36.1472
17001,0.1814,0.1781,39.6299,36.4842
17251,0.1509,0.1837,34.4296,31.1563
17501,0.1682,0.1844,35.3604,31.8317
17751,0.1407,0.1398,37.6219,36.2917
18001,0.1467,0.1529,37.1212,36.4461
18251,0.0981,0.1006,26.2813,24.3956
18501,0.0981,0.1022,38.9875,27.8346
18751,0.0998,0.0968,34.2511,27.2029
19001,0.1773,0.1778,49.7796,45.0709
19251,0.116,0.1786,39.5686,39.9414
19501,0.1815,0.1838,47.2667,47.0418
19751,0.1772,0.1471,47.0388,43.7969
20001,0.0904,0.0888,28.546,25.6841
