Unnamed: 0,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0.0,251.0,306.0,251.0,310.0,254.0
1.0,501.0,595.0,501.0,614.0,515.0
2.0,751.0,927.0,751.0,945.0,768.0
3.0,1001.0,1230.0,1002.0,1253.0,1021.0
4.0,1251.0,1486.0,1252.0,1524.0,1284.0
5.0,1501.0,1603.0,1501.0,1628.0,1519.0
6.0,1751.0,2240.0,1752.0,2275.0,1775.0
7.0,2001.0,2246.0,2001.0,2275.0,2021.0
8.0,2251.0,2667.0,2251.0,2749.0,2293.0
9.0,2501.0,3015.0,2502.0,3044.0,2525.0
10.0,2751.0,3346.0,2751.0,3451.0,2848.0
11.0,3001.0,3671.0,3002.0,3721.0,3035.0
12.0,3251.0,3856.0,3251.0,3911.0,3296.0
13.0,3501.0,4413.0,3501.0,4476.0,3550.0
14.0,3751.0,4454.0,3752.0,4524.0,3808.0
15.0,4001.0,4607.0,4002.0,4742.0,4088.0
16.0,4251.0,5326.0,4252.0,5434.0,4332.0
17.0,4501.0,5743.0,4502.0,5882.0,4630.0
18.0,4751.0,5260.0,4751.0,5331.0,4807.0
19.0,5001.0,6043.0,5002.0,6110.0,5015.0
20.0,5251.0,7096.0,5252.0,7275.0,5384.0
21.0,5501.0,6572.0,5502.0,6745.0,5635.0
22.0,5751.0,7454.0,5752.0,7616.0,5903.0
23.0,6001.0,7107.0,6001.0,7361.0,6201.0
24.0,6251.0,7341.0,6252.0,7416.0,6300.0
25.0,6501.0,8229.0,6501.0,8432.0,6652.0
26.0,6751.0,7887.0,6751.0,8068.0,6898.0
27.0,7001.0,7778.0,7001.0,7856.0,7054.0
28.0,7251.0,8642.0,7252.0,8796.0,7374.0
29.0,7501.0,8898.0,7502.0,9143.0,7718.0
30.0,7751.0,8654.0,7752.0,8809.0,7885.0
31.0,8001.0,10655.0,8001.0,11195.0,8315.0
32.0,8251.0,9731.0,8252.0,9790.0,8294.0
33.0,8501.0,10327.0,8501.0,10464.0,8599.0
34.0,8751.0,10458.0,8752.0,10611.0,8809.0
35.0,9001.0,10815.0,9002.0,11015.0,9158.0
36.0,9251.0,11078.0,9252.0,11283.0,9436.0
37.0,9501.0,11886.0,9502.0,12090.0,9632.0
38.0,9751.0,12011.0,9751.0,12301.0,9932.0
39.0,10001.0,11469.0,10001.0,11708.0,10218.0
40.0,10251.0,12894.0,10252.0,13195.0,10398.0
41.0,10501.0,12590.0,10502.0,12928.0,10773.0
42.0,10751.0,12706.0,10751.0,12988.0,11037.0
43.0,11001.0,11962.0,11001.0,12066.0,11106.0
44.0,11251.0,13908.0,11252.0,14530.0,11416.0
45.0,11501.0,13101.0,11501.0,13351.0,11766.0
46.0,11751.0,13232.0,11751.0,13489.0,11988.0
47.0,12001.0,13884.0,12002.0,14103.0,12208.0
48.0,12251.0,15069.0,12251.0,15637.0,12413.0
49.0,12501.0,15499.0,12502.0,16562.0,12905.0
50.0,12751.0,15634.0,12752.0,16002.0,12931.0
51.0,13001.0,15163.0,13001.0,15427.0,13250.0
52.0,13251.0,17265.0,13251.0,17870.0,13303.0
53.0,13501.0,17494.0,13501.0,18012.0,13977.0
54.0,13751.0,16198.0,13752.0,16570.0,14004.0
55.0,14001.0,17055.0,14002.0,17417.0,14219.0
56.0,14251.0,16464.0,14252.0,16938.0,14639.0
57.0,14501.0,18151.0,14502.0,18511.0,14779.0
58.0,14751.0,17001.0,14752.0,17680.0,14976.0
59.0,15001.0,17639.0,15002.0,17980.0,15292.0
60.0,15251.0,17720.0,15251.0,18155.0,15448.0
61.0,15501.0,19218.0,15501.0,19645.0,15889.0
62.0,15751.0,19247.0,15751.0,19458.0,15934.0
63.0,16001.0,21193.0,16001.0,21437.0,16157.0
64.0,16251.0,18885.0,16252.0,19607.0,16981.0
65.0,16501.0,19699.0,16502.0,19871.0,16632.0
66.0,16751.0,18725.0,16752.0,18931.0,16988.0
67.0,17001.0,19196.0,17001.0,19468.0,17183.0
68.0,17251.0,21296.0,17251.0,21617.0,17445.0
69.0,17501.0,22286.0,17501.0,22998.0,17633.0
70.0,17751.0,22092.0,17752.0,22496.0,17857.0
71.0,18001.0,21277.0,18002.0,21823.0,18534.0
72.0,18251.0,20461.0,18251.0,20576.0,18337.0
73.0,18501.0,23147.0,18502.0,23784.0,18959.0
74.0,18751.0,22554.0,18752.0,23172.0,19112.0
75.0,19001.0,22636.0,19001.0,23135.0,19400.0
76.0,19251.0,21610.0,19251.0,21930.0,19511.0
77.0,19501.0,22737.0,19501.0,22964.0,19639.0
78.0,19751.0,24024.0,19752.0,24289.0,19975.0
79.0,20001.0,24030.0,20002.0,24505.0,20375.0
