Unnamed: 0,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0.0,251.0,252.0,252.0,254.0,254.0
1.0,501.0,502.0,502.0,515.0,515.0
2.0,751.0,751.0,751.0,768.0,768.0
3.0,1001.0,1001.0,1001.0,1021.0,1021.0
4.0,1251.0,1252.0,1252.0,1284.0,1284.0
5.0,1501.0,1501.0,1501.0,1519.0,1519.0
6.0,1751.0,1752.0,1752.0,1775.0,1775.0
7.0,2001.0,2001.0,2001.0,2021.0,2021.0
8.0,2251.0,2251.0,2251.0,2293.0,2293.0
9.0,2501.0,2501.0,2501.0,2525.0,2525.0
10.0,2751.0,2751.0,2751.0,2848.0,2848.0
11.0,3001.0,3001.0,3001.0,3035.0,3035.0
12.0,3251.0,3251.0,3251.0,3296.0,3296.0
13.0,3501.0,3501.0,3501.0,3550.0,3550.0
14.0,3751.0,3752.0,3752.0,3808.0,3808.0
15.0,4001.0,4002.0,4002.0,4088.0,4088.0
16.0,4251.0,4251.0,4251.0,4332.0,4332.0
17.0,4501.0,4501.0,4501.0,4630.0,4630.0
18.0,4751.0,4751.0,4751.0,4807.0,4807.0
19.0,5001.0,5002.0,5002.0,5015.0,5015.0
20.0,5251.0,5251.0,5251.0,5384.0,5384.0
21.0,5501.0,5501.0,5501.0,5635.0,5635.0
22.0,5751.0,5751.0,5751.0,5903.0,5903.0
23.0,6001.0,6001.0,6001.0,6201.0,6201.0
24.0,6251.0,6252.0,6252.0,6300.0,6300.0
25.0,6501.0,6501.0,6501.0,6652.0,6652.0
26.0,6751.0,6751.0,6751.0,6898.0,6898.0
27.0,7001.0,7002.0,7002.0,7054.0,7054.0
28.0,7251.0,7251.0,7251.0,7374.0,7374.0
29.0,7501.0,7502.0,7502.0,7718.0,7718.0
30.0,7751.0,7751.0,7751.0,7885.0,7885.0
31.0,8001.0,8002.0,8002.0,8315.0,8315.0
32.0,8251.0,8251.0,8251.0,8294.0,8294.0
33.0,8501.0,8502.0,8502.0,8599.0,8599.0
34.0,8751.0,8752.0,8752.0,8809.0,8809.0
35.0,9001.0,9002.0,9002.0,9158.0,9158.0
36.0,9251.0,9252.0,9252.0,9436.0,9436.0
37.0,9501.0,9502.0,9502.0,9632.0,9632.0
38.0,9751.0,9752.0,9752.0,9932.0,9932.0
39.0,10001.0,10001.0,10001.0,10218.0,10218.0
40.0,10251.0,10252.0,10252.0,10398.0,10398.0
41.0,10501.0,10501.0,10501.0,10773.0,10773.0
42.0,10751.0,10751.0,10751.0,11037.0,11037.0
43.0,11001.0,11001.0,11001.0,11106.0,11106.0
44.0,11251.0,11251.0,11251.0,11416.0,11416.0
45.0,11501.0,11501.0,11501.0,11766.0,11766.0
46.0,11751.0,11752.0,11752.0,11988.0,11988.0
47.0,12001.0,12001.0,12001.0,12208.0,12208.0
48.0,12251.0,12252.0,12252.0,12413.0,12413.0
49.0,12501.0,12502.0,12502.0,12905.0,12905.0
50.0,12751.0,12751.0,12751.0,12931.0,12931.0
51.0,13001.0,13001.0,13001.0,13250.0,13250.0
52.0,13251.0,13251.0,13251.0,13303.0,13303.0
53.0,13501.0,13502.0,13502.0,13977.0,13977.0
54.0,13751.0,13752.0,13752.0,14004.0,14004.0
55.0,14001.0,14001.0,14001.0,14219.0,14219.0
56.0,14251.0,14252.0,14252.0,14639.0,14639.0
57.0,14501.0,14501.0,14501.0,14779.0,14779.0
58.0,14751.0,14752.0,14752.0,14976.0,14976.0
59.0,15001.0,15002.0,15002.0,15292.0,15292.0
60.0,15251.0,15252.0,15252.0,15448.0,15448.0
61.0,15501.0,15501.0,15501.0,15889.0,15889.0
62.0,15751.0,15751.0,15751.0,15934.0,15934.0
63.0,16001.0,16001.0,16001.0,16157.0,16157.0
64.0,16251.0,16252.0,16252.0,16981.0,16981.0
65.0,16501.0,16502.0,16502.0,16632.0,16632.0
66.0,16751.0,16752.0,16752.0,16988.0,16988.0
67.0,17001.0,17001.0,17001.0,17183.0,17183.0
68.0,17251.0,17251.0,17251.0,17445.0,17445.0
69.0,17501.0,17501.0,17501.0,17633.0,17633.0
70.0,17751.0,17751.0,17751.0,17857.0,17857.0
71.0,18001.0,18002.0,18002.0,18534.0,18534.0
72.0,18251.0,18251.0,18251.0,18337.0,18337.0
73.0,18501.0,18501.0,18501.0,18959.0,18959.0
74.0,18751.0,18752.0,18752.0,19112.0,19112.0
75.0,19001.0,19001.0,19001.0,19400.0,19400.0
76.0,19251.0,19251.0,19251.0,19511.0,19511.0
77.0,19501.0,19501.0,19501.0,19639.0,19639.0
78.0,19751.0,19752.0,19752.0,19975.0,19975.0
79.0,20001.0,20002.0,20002.0,20375.0,20375.0
