,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,24.7675,27.4188,0.0075,0.0070
1,501,21.8326,31.9972,0.0151,0.0135
2,751,100.0309,29.4968,0.0479,0.0379
3,1001,24.7676,31.6684,0.0657,0.0516
4,1251,23.1103,26.8875,0.1175,0.0980
5,1501,20.5356,31.7300,0.1523,0.1400
6,1751,24.4479,27.7900,0.2581,0.2093
7,2001,22.3055,27.3556,0.3252,0.2875
8,2251,21.3586,27.5114,0.4125,0.3703
9,2501,21.8831,27.0832,0.5356,0.4636
10,2751,20.6966,32.4787,0.5076,0.4432
11,3001,20.4211,31.0608,0.6554,0.5522
12,3251,25.2100,26.3803,0.6663,0.5484
13,3501,20.8682,28.3476,0.9080,0.6685
14,3751,22.1806,29.0901,0.9197,0.7743
15,4001,23.5045,95.3610,0.9654,0.8136
16,4251,22.5747,29.7644,1.2386,0.9656
17,4501,75.3803,32.3696,1.4176,1.0591
18,4751,21.9425,32.0628,1.6095,1.4153
19,5001,28.2883,36.1796,1.9851,1.6388
20,5251,23.6051,29.9228,2.3143,1.6040
21,5501,24.8401,30.9088,2.6578,2.1100
22,5751,23.6155,97.8204,2.4916,1.7148
23,6001,21.8006,26.6437,2.2935,1.9245
24,6251,68.0610,28.1472,2.9426,2.6003
25,6501,23.6044,29.5133,3.2122,2.5246
26,6751,21.1528,27.6994,2.9987,2.5083
27,7001,20.1304,28.0717,3.8555,3.6895
28,7251,20.3844,28.2811,4.0934,3.3743
29,7501,20.1678,31.9274,3.6408,3.0731
30,7751,20.4013,28.2712,4.6875,4.2998
31,8001,20.9432,71.9257,5.4402,4.4458
32,8251,20.0773,27.1477,5.6871,4.7882
33,8501,20.2876,73.6151,4.5629,3.8864
34,8751,19.6949,28.4948,6.0352,4.9525
35,9001,63.7873,26.5011,5.1525,4.0339
36,9251,19.7498,27.3186,5.8042,4.4976
37,9501,20.0240,25.1345,5.2938,4.1219
38,9751,20.6143,29.3596,6.7802,5.4093
39,10001,22.5814,26.9488,6.4219,5.2540
40,10251,22.7160,72.6736,8.4422,6.2054
41,10501,20.1448,29.2071,6.1915,4.8971
42,10751,57.3354,27.5182,8.1862,7.0595
43,11001,19.7991,34.0731,9.8736,9.0071
44,11251,19.9260,25.5920,9.8366,7.8181
45,11501,20.0271,27.4851,8.6391,7.5194
46,11751,19.9254,26.7522,8.7272,7.7145
47,12001,19.8023,27.4685,8.9521,7.3538
48,12251,20.7680,70.0908,10.6598,8.8178
49,12501,20.5003,26.3195,11.8863,9.7197
50,12751,72.7191,27.1438,10.3485,8.2440
51,13001,24.2230,26.5538,11.9228,9.5646
52,13251,20.6971,27.4614,15.4587,12.7801
53,13501,59.3108,26.5245,14.0899,9.1912
54,13751,20.5789,26.7110,13.5509,11.0929
55,14001,20.6800,28.4689,16.9265,13.1528
56,14251,60.0060,26.2851,10.4698,8.4234
57,14501,20.8312,27.2202,15.5127,12.1543
58,14751,19.9927,28.3337,14.8074,12.4112
59,15001,55.2408,28.6667,17.8095,14.7068
60,15251,20.3416,26.1355,14.7788,12.1880
61,15501,20.8836,28.5979,16.3836,11.3537
62,15751,55.7928,26.0390,18.4996,14.5474
63,16001,20.0974,28.8714,20.3038,14.0266
64,16251,20.3342,26.1163,21.8912,18.5217
65,16501,54.9176,26.6877,19.7252,15.8870
66,16751,19.9909,57.7006,21.1674,17.8861
67,17001,19.6183,25.7022,23.5936,20.5761
68,17251,21.8308,26.2241,25.6726,21.6927
69,17501,20.7011,26.1860,25.7400,19.3164
70,17751,50.4855,25.3678,25.0462,21.6424
71,18001,19.7873,26.0974,18.6237,15.2231
72,18251,19.9908,27.5806,23.9790,21.6499
73,18501,20.7215,25.9238,19.5866,15.2845
74,18751,44.8790,26.0991,22.9140,19.1349
75,19001,20.1803,62.5938,28.6091,23.1341
76,19251,20.8067,25.9423,25.0034,22.4597
77,19501,23.5177,26.9082,37.7200,33.0109
78,19751,21.5644,28.8756,31.7502,26.2670
79,20001,21.2224,27.0488,27.7818,22.1893
