,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,21.8352,20.6527,0.0045,0.0047
1,501,20.3283,20.7270,0.0128,0.0132
2,751,20.5475,25.7748,0.0381,0.0386
3,1001,20.1727,23.3693,0.0448,0.0452
4,1251,64.4076,26.0152,0.0956,0.0958
5,1501,20.3774,21.0781,0.1384,0.1376
6,1751,74.2575,25.6614,0.1997,0.1986
7,2001,21.1029,22.2487,0.2836,0.2854
8,2251,70.6666,20.0235,0.3565,0.3598
9,2501,19.9368,20.9896,0.4606,0.4663
10,2751,69.1085,21.0997,0.4312,0.4335
11,3001,19.8341,20.0832,0.5746,0.5644
12,3251,70.2618,21.3237,0.5306,0.5321
13,3501,23.3619,21.1284,0.6845,0.6844
14,3751,87.3788,19.6090,0.9479,0.9513
15,4001,20.8997,20.7450,0.8698,0.8602
16,4251,22.8569,23.5156,0.9653,0.9648
17,4501,22.7785,22.3852,1.0521,1.0659
18,4751,23.7819,22.6540,1.4710,1.4598
19,5001,23.1358,78.8898,1.6636,1.6454
20,5251,22.5661,24.0957,1.5289,1.5314
21,5501,72.5484,22.7689,2.0747,2.0646
22,5751,22.3065,23.2958,1.8167,1.7139
23,6001,23.5841,19.9699,1.9271,1.9174
24,6251,21.1638,19.9332,2.5999,2.5955
25,6501,23.6593,20.6526,2.4926,2.4901
26,6751,24.5597,61.2426,2.5133,2.5127
27,7001,20.0194,19.6537,3.6345,3.7177
28,7251,21.4886,65.1749,3.3666,3.4545
29,7501,20.5824,19.7953,2.9934,3.0882
30,7751,77.5142,21.6215,4.3200,4.5176
31,8001,20.0953,20.0583,4.3724,4.5146
32,8251,20.0949,20.0213,4.7473,4.8976
33,8501,20.1771,19.6524,3.4113,3.4345
34,8751,22.2440,20.0779,4.8944,4.9271
35,9001,19.9009,19.6865,3.9392,3.9452
36,9251,20.0728,19.8287,4.4535,4.5066
37,9501,20.2402,65.8379,4.0671,4.0983
38,9751,19.8293,19.6668,5.3582,5.4555
39,10001,58.3161,20.0757,5.1842,5.1913
40,10251,19.9285,19.9517,6.2046,6.1901
41,10501,19.9315,19.8705,4.8944,4.9205
42,10751,19.7594,19.7730,7.1879,7.0682
43,11001,19.6797,19.8662,8.8208,8.7213
44,11251,19.9976,58.4059,7.8216,7.6704
45,11501,19.9512,19.9260,7.7930,7.6857
46,11751,58.2442,20.0824,7.9180,7.8066
47,12001,119.5454,20.2083,7.6514,7.3489
48,12251,20.0132,19.9486,8.9218,8.9250
49,12501,19.7848,19.8516,9.4563,9.3872
50,12751,19.7582,19.8191,8.1054,8.0101
51,13001,19.8717,20.5145,9.5652,9.4620
52,13251,57.0490,19.8495,12.4006,12.3308
53,13501,19.9585,19.9902,9.5960,9.5705
54,13751,19.9305,20.0989,11.1255,11.0185
55,14001,52.3309,19.8355,12.7864,12.7217
56,14251,19.9836,19.9319,8.4663,8.3333
57,14501,19.8532,19.9545,11.4097,11.2969
58,14751,52.2861,19.9177,11.7105,11.7344
59,15001,19.8583,20.2255,12.4464,12.4131
60,15251,20.0989,20.7195,12.2357,12.1582
61,15501,53.6844,19.7427,11.9269,11.8917
62,15751,21.6412,23.2911,14.4465,14.4411
63,16001,19.7947,19.8890,14.7672,14.5342
64,16251,57.5490,20.2642,18.4768,18.3901
65,16501,19.8823,19.7852,16.0771,15.9917
66,16751,19.8465,26.5875,17.9815,17.9693
67,17001,19.8739,26.7974,20.0176,20.0023
68,17251,45.7831,20.0780,21.6604,21.6480
69,17501,20.2301,63.2353,19.2486,19.1402
70,17751,19.6927,19.9885,21.9374,21.7401
71,18001,19.8417,30.8592,15.0062,14.9211
72,18251,58.0553,19.8177,21.6647,21.6855
73,18501,19.9690,56.8776,15.1995,15.2189
74,18751,19.9593,19.8285,19.0403,19.0541
75,19001,19.8430,19.6965,21.0381,21.0919
76,19251,20.4971,20.8473,22.3027,22.2478
77,19501,53.2248,20.5140,27.3017,27.1652
78,19751,50.5836,21.1475,26.7189,26.7107
79,20001,52.3329,21.8915,22.9475,22.3754
