
data;
param rawBarWidth := 120;
param: ORDERS: widths  barsNum  maxRelax :=
1 30 555 0
2 49 71 19
3 20 839 0
4 106 175 86
5 40 516 0
6 12 1665 0
7 28 684 0
8 72 302 0
9 84 215 0
10 111 38 27
11 44 417 0
12 18 924 0
13 55 149 37
14 16 1297 0
15 102 175 0
16 105 36 3
17 47 423 0
18 92 192 0
19 114 21 22
20 38 471 0
21 42 449 0
22 84 50 42
23 114 159 0
24 116 23 2
25 115 169 0
26 67 284 0
27 15 1096 0
28 81 187 66
29 29 708 0
30 71 242 0
31 119 49 48
32 108 187 0
33 105 158 0
34 108 17 3
35 33 599 0
36 43 370 0
37 54 76 11
38 7 2521 0
39 98 418 91
40 83 229 0
41 77 226 0
42 84 30 7
43 95 185 0
44 117 31 22
45 23 914 0
46 46 349 0
47 60 61 14
48 4 4856 0
49 119 171 0
50 70 212 0
51 113 47 43
52 53 343 0
53 56 56 3
54 118 139 0
55 119 29 1
56 86 208 0
57 102 37 16
58 110 197 0
59 87 219 0
60 48 338 0
61 109 53 61
62 22 785 0
63 46 152 24
64 26 589 0
65 61 110 35
66 63 269 0
67 100 43 37
68 94 178 0
69 110 31 16
70 74 231 0
71 111 28 37
72 24 847 0
73 2 9877 0
74 103 211 0
75 61 342 0
76 1 17887 0
77 107 2326 106
78 36 437 0
79 88 103 52
80 27 611 0
81 91 107 64
82 5 3280 0
83 46 698 41
84 6 3339 0
85 104 221 0
86 55 301 0
87 108 44 53
88 73 229 0
89 80 29 7
90 8 2146 0
91 49 316 41
92 39 419 0
93 82 69 43
94 80 222 0
95 103 38 23
96 54 369 0
97 62 262 0
98 75 57 13
99 31 596 0
100 51 120 20
101 41 477 0
102 96 198 0
103 60 349 0
104 58 299 0
105 117 43 59
106 113 183 0
107 75 233 0
108 35 516 0
109 86 83 51
110 76 239 0
111 107 45 31
112 106 192 0
113 14 1220 0
114 64 241 50
115 65 297 0
116 107 204 0
117 90 227 0
118 51 353 0
119 69 67 18
120 3 5330 0
121 7 1260 4
122 116 182 0
123 11 1577 0
124 20 206 9
125 21 932 0
126 120 159 0
127 111 132 0
128 119 23 8
129 59 285 0
130 65 64 6
131 50 330 0
132 114 57 64
133 97 156 0
134 103 38 6
135 49 425 0
136 17 1032 0
137 85 191 68
138 88 211 0
139 32 601 0
140 79 198 0
141 80 43 1
142 45 483 0
143 91 208 0
144 93 25 2
145 69 228 0
146 81 31 12
147 25 685 0
148 87 109 62
149 81 241 0
150 93 205 0
151 114 43 21
152 9 2018 0
153 15 248 6
154 56 352 0
155 117 165 0
156 98 171 0
157 101 42 3
158 99 202 0
159 89 192 0
160 94 46 5
161 82 187 0
162 94 33 12
163 78 222 0
164 116 30 38
165 34 539 0
166 102 62 68
167 100 182 0
168 110 24 10
169 52 364 0
170 75 44 23
171 66 308 0
172 64 300 0
173 85 245 0
174 37 491 0
175 13 1294 0
176 57 169 44
177 19 1015 0
178 27 116 8
179 68 264 0
180 95 40 27
181 10 1710 0
182 13 236 3
183 109 177 0
184 57 313 0
185 91 73 34
186 101 165 0
187 113 38 12
188 112 150 0
189 116 25 4
;
