,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,251.5,251.5,269.75,269.75
1,501,502.1,502.1,518.0,518.0
2,751,752.5,752.5,782.25,782.25
3,1001,1003.5,1003.5,1066.5,1066.5
4,1251,1253.75,1253.75,1318.0,1318.0
5,1501,1503.5,1503.5,1540.25,1540.25
6,1751,1754.25,1754.25,1803.75,1803.75
7,2001,2003.25,2003.25,2070.25,2070.25
8,2251,2253.5,2253.5,2281.75,2281.75
9,2501,2503.75,2503.75,2607.0,2607.0
10,2751,2753.25,2753.25,2909.75,2909.75
11,3001,3004.25,3004.25,3115.75,3115.75
12,3251,3254.0,3254.0,3338.25,3338.25
13,3501,3503.0,3503.0,3673.25,3673.25
14,3751,3753.75,3753.75,3842.75,3842.75
15,4001,4003.5,4003.5,4049.5,4049.5
16,4251,4253.75,4253.75,4334.5,4334.5
17,4501,4503.5,4503.5,4782.0,4782.0
18,4751,4753.75,4753.75,5041.0,5041.0
19,5001,5004.5,5004.5,5155.25,5155.25
20,5251,5254.5,5254.5,5472.75,5472.75
21,5501,5504.0,5504.0,5898.75,5898.75
22,5751,5753.75,5753.75,6081.75,6081.75
23,6001,6003.5,6003.5,6238.75,6238.75
24,6251,6253.5,6253.5,6603.25,6603.25
25,6501,6504.0,6504.0,6666.0,6666.0
26,6751,6753.75,6753.75,7350.0,7350.0
27,7001,7004.25,7004.25,7282.0,7282.0
28,7251,7254.5,7254.5,7555.75,7555.75
29,7501,7503.5,7503.5,7794.25,7794.25
30,7751,7753.5,7753.5,8282.0,8282.0
31,8001,8004.5,8004.5,8308.0,8308.0
32,8251,8253.5,8253.5,8682.25,8682.25
33,8501,8504.25,8504.25,9058.25,9058.25
34,8751,8754.0,8754.0,9439.75,9439.75
35,9001,9003.0,9003.0,9522.75,9522.75
36,9251,9254.5,9254.5,9669.0,9669.0
37,9501,9504.0,9504.0,10007.75,10007.75
38,9751,9754.5,9754.5,10283.75,10283.75
39,10001,10003.25,10003.25,10413.25,10413.25
40,10251,10253.5,10253.5,10946.25,10946.25
41,10501,10504.75,10504.75,11107.5,11107.5
42,10751,10754.5,10754.5,10910.75,10910.75
43,11001,11003.25,11003.25,11500.75,11500.75
44,11251,11254.75,11254.75,11853.75,11853.75
45,11501,11504.25,11504.25,11583.0,11583.0
46,11751,11754.0,11754.0,12246.0,12246.0
47,12001,12003.5,12003.5,12637.75,12637.75
48,12251,12253.75,12253.75,12987.5,12987.5
49,12501,12503.75,12503.75,12846.0,12846.0
50,12751,12753.25,12753.25,13603.75,13603.75
51,13001,13004.0,13004.0,13358.5,13358.5
52,13251,13253.5,13253.5,13695.75,13695.75
53,13501,13503.75,13503.75,14311.5,14311.5
54,13751,13753.5,13753.5,14231.0,14231.0
55,14001,14004.0,14004.0,14217.75,14217.75
56,14251,14254.0,14254.0,14780.25,14780.25
57,14501,14503.75,14503.75,15169.75,15169.75
58,14751,14753.75,14753.75,15390.5,15390.5
59,15001,15004.25,15004.25,15787.0,15787.0
60,15251,15254.0,15254.0,16216.0,16216.0
61,15501,15503.5,15503.5,16282.0,16282.0
62,15751,15754.25,15754.25,16479.75,16479.75
63,16001,16005.0,16005.0,16228.0,16228.0
64,16251,16254.25,16254.25,16829.75,16829.75
65,16501,16504.25,16504.25,16724.25,16724.25
66,16751,16753.75,16753.75,17890.5,17890.5
67,17001,17004.0,17004.0,17852.25,17852.25
68,17251,17253.75,17253.75,18125.75,18125.75
69,17501,17504.5,17504.5,18765.25,18765.25
70,17751,17754.0,17754.0,18778.75,18778.75
72,18001,18003.75,18003.75,18638.0,18638.0
73,18251,18254.25,18254.25,18948.0,18948.0
74,18501,18503.5,18503.5,18858.25,18858.25
75,18751,18754.25,18754.25,19623.75,19623.75
76,19001,19004.25,19004.25,20578.25,20578.25
77,19251,19253.75,19253.75,20044.25,20044.25
78,19501,19503.75,19503.75,19645.75,19645.75
79,19751,19753.5,19753.5,20420.5,20420.5
80,20001,20003.75,20003.75,20994.75,20994.75
