,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,244.50833300000002,244.50833300000002,248.0,-1
1,501,487.62499999999994,487.62499999999994,492.0,-1
2,751,731.6499999999999,731.6499999999999,746.0,-1
3,1001,975.408333,975.408333,979.0,-1
4,1251,1218.674999,1218.674999,1224.0,-1
5,1501,1462.483335,1462.483335,1518.0,-1
6,1751,1707.174998,1707.174998,1747.0,-1
7,2001,1949.2833350000003,1949.2833350000003,1977.0,-1
8,2251,2194.96556,2194.96556,2216.0,-1
9,2501,2439.2285719999995,2439.2285719999995,2482.0,-1
10,2751,2680.0833300000004,2680.0833300000004,2723.0,-1
11,3001,2923.8750019999998,2923.8750019999998,2935.0,-1
12,3251,3167.6250000000005,3167.6250000000005,3225.0,-1
13,3501,3411.266667999999,3411.266667999999,3424.0,-1
14,3751,3655.8999969999995,3655.8999969999995,3732.0,-1
15,4001,3899.548519,3899.548519,3968.0,-1
16,4251,4145.274117,4145.274117,4217.0,-1
17,4501,4387.183691999999,4387.183691999999,4502.0,-1
18,4751,4628.125001,4628.125001,4684.0,-1
19,5001,4891.586669000001,4891.586669000001,4928.0,-1
