,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,1,1.0,1.0,1.0,257.0
0,251,251.0,251.0,257.0,257.0
1,501,501.0,501.0,513.0,513.0
2,751,751.0,751.0,762.0,762.0
3,1001,1001.0,1001.0,1035.0,1035.0
4,1251,1250.0,1250.0,1279.0,1279.0
5,1501,1502.0,1501.0,1536.0,1536.0
6,1751,1751.0,1751.0,1780.0,1780.0
7,2001,2000.0,2000.0,2029.0,2029.0
8,2251,2250.0,2250.0,2281.0,2281.0
9,2501,2500.0,2500.0,2536.0,2536.0
10,2751,2751.0,2751.0,2790.0,2776.0
11,3001,3001.0,3001.0,3040.0,3005.0
12,3251,3251.0,3251.0,3280.0,3268.0
13,3501,3501.0,3500.0,3574.0,3574.0
14,3751,3750.0,3751.0,3804.0,3804.0
15,4001,4001.0,4001.0,4045.0,4045.0
16,4251,4250.0,4250.0,4340.0,4340.0
17,4501,4501.0,4501.0,4573.0,4573.0
18,4751,4751.0,4751.0,4865.0,4865.0
19,5001,5001.0,5000.0,5043.0,5043.0
