,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,501,488.13333199999994,488.133329,493.0,493.0
1,1001,975.366669,975.3666670000001,984.0,984.0
2,1501,1463.083334,1463.0833300000004,1466.0,1466.0
3,2001,1950.1416670000003,1950.1416679999998,1993.0,1993.0
4,2501,2436.8249999999994,2436.824998,2476.0,2476.0
5,3001,2923.066668,2923.0666659999997,2972.0,2972.0
6,3501,3410.708331,3410.7083329999996,3424.0,3424.0
7,4001,3897.416666,3897.4166689999997,3915.0,3915.0
8,4501,4384.891666999998,4384.891667999999,4465.0,4465.0
9,5001,4872.2666690000015,4872.26667,5050.0,5050.0
10,5501,5359.416665,5359.416663999998,5463.0,5463.0
11,6001,5846.075000000001,5846.074999,5948.0,5948.0
12,6501,6333.183333,6333.183330999999,6410.0,6410.0
13,7001,6821.358332000001,6821.358334,6881.0,6881.0
14,7501,7307.533329999998,7307.533331999999,7382.0,7382.0
15,8001,7795.033332999998,7796.096429,7858.0,7858.0
16,8501,8283.250002000002,8283.250003,8426.0,8426.0
17,9001,8771.133335000002,8771.133332,8863.0,8863.0
18,9501,9256.624999000003,9256.625000000004,9430.0,9430.0
