,true,optimal,backpack,backpack_relaxed
0,4,4.0,4.0,4.0
1,7,9.0,8.0,8.0
2,10,11.0,11.0,10.0
3,13,15.0,15.0,13.0
4,16,17.0,17.0,16.0
5,19,19.0,21.0,19.0
6,22,23.0,23.0,22.0
7,25,28.0,27.0,24.0
8,28,30.0,30.0,28.0
9,31,33.0,34.0,32.0
10,34,35.0,37.0,36.0
11,37,37.0,41.0,39.0
12,40,40.0,43.0,42.0
13,43,44.0,45.0,42.0
14,46,46.0,51.0,48.0
15,49,49.0,53.0,51.0
16,52,49.0,60.0,52.0
17,55,55.0,61.0,57.0
18,58,56.0,63.0,59.0
19,61,62.0,66.0,59.0
20,64,63.0,75.0,68.0
21,67,63.0,74.0,65.0
22,70,67.0,74.0,69.0
23,73,69.0,81.0,73.0
24,76,74.0,87.0,76.0
25,79,79.0,85.0,78.0
26,82,79.0,93.0,88.0
27,85,83.0,91.0,86.0
28,88,85.0,97.0,93.0
29,91,85.0,96.0,90.0
30,94,89.0,101.0,98.0
31,97,94.0,105.0,97.0
32,100,94.0,108.0,102.0
33,103,95.0,111.0,100.0
34,106,99.0,118.0,107.0
35,109,105.0,125.0,121.0
36,112,106.0,125.0,113.0
37,115,106.0,133.0,123.0
38,118,110.0,131.0,117.0
39,121,115.0,130.0,122.0
40,124,114.0,134.0,126.0
41,127,117.0,138.0,127.0
42,130,121.0,137.0,125.0
43,133,122.0,145.0,125.0
44,136,130.0,153.0,145.0
45,139,135.0,158.0,147.0
46,142,135.0,148.0,139.0
47,145,135.0,158.0,144.0
48,148,135.0,165.0,151.0
49,151,142.0,158.0,149.0
50,154,143.0,171.0,153.0
51,157,146.0,179.0,163.0
52,160,151.0,167.0,151.0
53,163,154.0,181.0,170.0
54,166,152.0,195.0,169.0
55,169,162.0,182.0,178.0
56,172,162.0,189.0,176.0
57,175,167.0,194.0,188.0
58,178,165.0,191.0,181.0
59,181,168.0,192.0,177.0
60,184,169.0,195.0,171.0
61,187,175.0,213.0,191.0
62,190,174.0,209.0,180.0
63,193,182.0,199.0,189.0
64,196,185.0,205.0,195.0
65,199,189.0,232.0,216.0
66,202,186.0,219.0,198.0
67,205,189.0,222.0,199.0
68,208,189.0,236.0,205.0
69,211,191.0,232.0,197.0
70,214,202.0,226.0,213.0
71,217,200.0,240.0,227.0
72,220,202.0,237.0,222.0
73,223,203.0,233.0,213.0
74,226,209.0,257.0,228.0
75,229,216.0,256.0,241.0
76,232,212.0,265.0,232.0
77,235,218.0,260.0,237.0
78,238,216.0,258.0,225.0
79,241,222.0,281.0,249.0
80,244,223.0,262.0,228.0
81,247,235.0,261.0,243.0
82,250,227.0,263.0,241.0
83,253,234.0,285.0,250.0
84,256,232.0,300.0,277.0
85,259,236.0,300.0,265.0
86,262,251.0,290.0,280.0
87,265,245.0,293.0,266.0
88,268,253.0,296.0,272.0
89,271,245.0,301.0,261.0
90,274,252.0,315.0,280.0
91,277,254.0,311.0,292.0
92,280,248.0,316.0,267.0
93,283,268.0,303.0,275.0
94,286,255.0,299.0,275.0
95,289,264.0,328.0,291.0
96,292,277.0,329.0,293.0
97,295,280.0,329.0,315.0
98,298,283.0,322.0,299.0
99,301,278.0,332.0,303.0
100,304,285.0,348.0,325.0
101,307,285.0,336.0,309.0
102,310,290.0,357.0,310.0
103,313,284.0,366.0,320.0
104,316,299.0,348.0,335.0
105,319,291.0,350.0,323.0
106,322,293.0,356.0,324.0
107,325,298.0,353.0,321.0
108,328,300.0,347.0,322.0
109,331,305.0,362.0,343.0
110,334,296.0,365.0,335.0
111,337,321.0,361.0,341.0
112,340,313.0,365.0,337.0
113,343,328.0,365.0,336.0
114,346,313.0,386.0,343.0
115,349,316.0,381.0,335.0
116,352,322.0,407.0,352.0
117,355,334.0,366.0,342.0
118,358,330.0,389.0,362.0
119,361,331.0,394.0,359.0
120,364,330.0,428.0,392.0
121,367,335.0,392.0,368.0
122,370,340.0,389.0,363.0
123,373,339.0,399.0,369.0
124,376,345.0,403.0,353.0
125,379,353.0,408.0,384.0
126,382,355.0,433.0,398.0
127,385,355.0,436.0,379.0
128,388,355.0,406.0,369.0
129,391,357.0,426.0,383.0
130,394,367.0,422.0,375.0
131,397,374.0,439.0,405.0
132,400,372.0,455.0,415.0
133,403,375.0,443.0,411.0
134,406,376.0,446.0,424.0
135,409,378.0,446.0,415.0
136,412,378.0,447.0,400.0
137,415,401.0,464.0,452.0
138,418,393.0,451.0,419.0
139,421,396.0,465.0,453.0
140,424,406.0,471.0,445.0
141,427,385.0,492.0,449.0
142,430,391.0,499.0,444.0
143,433,390.0,463.0,413.0
144,436,403.0,480.0,455.0
145,439,400.0,491.0,455.0
146,442,414.0,490.0,439.0
147,445,389.0,509.0,441.0
148,448,409.0,473.0,430.0
149,451,416.0,515.0,441.0
150,454,420.0,503.0,459.0
151,457,421.0,531.0,487.0
152,460,425.0,536.0,504.0
153,463,416.0,493.0,441.0
154,466,431.0,503.0,448.0
155,469,427.0,510.0,464.0
156,472,430.0,508.0,477.0
157,475,442.0,526.0,483.0
158,478,443.0,547.0,494.0
159,481,435.0,514.0,466.0
160,484,438.0,568.0,522.0
161,487,444.0,560.0,480.0
162,490,447.0,517.0,458.0
163,493,463.0,531.0,478.0
164,496,458.0,544.0,496.0
165,499,457.0,560.0,491.0
166,502,465.0,564.0,486.0
167,505,475.0,537.0,500.0
168,508,450.0,557.0,490.0
169,511,467.0,562.0,505.0
170,514,496.0,569.0,534.0
171,517,477.0,575.0,523.0
172,520,483.0,580.0,545.0
173,523,493.0,574.0,547.0
174,526,494.0,575.0,523.0
175,529,489.0,592.0,533.0
176,532,492.0,552.0,510.0
177,535,500.0,583.0,544.0
178,538,497.0,594.0,544.0
179,541,480.0,578.0,530.0
180,544,513.0,609.0,573.0
181,547,498.0,571.0,541.0
182,550,511.0,648.0,605.0
183,553,516.0,602.0,553.0
184,556,510.0,601.0,529.0
185,559,513.0,625.0,566.0
186,562,503.0,599.0,533.0
187,565,505.0,606.0,519.0
188,568,515.0,629.0,582.0
189,571,529.0,619.0,590.0
190,574,537.0,661.0,602.0
191,577,535.0,641.0,590.0
192,580,526.0,643.0,571.0
193,583,541.0,624.0,554.0
194,586,540.0,640.0,600.0
195,589,541.0,627.0,585.0
196,592,548.0,637.0,598.0
197,595,554.0,642.0,590.0
198,598,553.0,627.0,605.0
199,601,549.0,657.0,591.0
200,604,570.0,672.0,631.0
201,607,574.0,669.0,630.0
202,610,572.0,652.0,619.0
203,613,541.0,651.0,566.0
204,616,584.0,683.0,641.0
205,619,573.0,728.0,670.0
206,622,585.0,682.0,647.0
207,625,586.0,672.0,624.0
208,628,595.0,690.0,647.0
209,631,590.0,641.0,615.0
210,634,604.0,710.0,693.0
211,637,565.0,724.0,631.0
212,640,596.0,700.0,672.0
213,643,575.0,688.0,633.0
214,646,598.0,671.0,634.0
215,649,611.0,686.0,651.0
216,652,601.0,744.0,650.0
217,655,598.0,737.0,649.0
218,658,617.0,706.0,671.0
219,661,607.0,666.0,617.0
220,664,604.0,742.0,664.0
221,667,613.0,680.0,625.0
222,670,622.0,726.0,668.0
223,673,629.0,759.0,678.0
224,676,635.0,740.0,677.0
225,679,637.0,758.0,741.0
226,682,640.0,713.0,666.0
227,685,649.0,724.0,694.0
228,688,648.0,741.0,680.0
229,691,631.0,749.0,677.0
230,694,658.0,758.0,705.0
231,697,621.0,721.0,641.0
232,700,656.0,750.0,707.0
233,703,663.0,758.0,740.0
234,706,655.0,803.0,762.0
235,709,635.0,786.0,710.0
236,712,666.0,826.0,757.0
237,715,655.0,757.0,687.0
238,718,662.0,779.0,707.0
239,721,666.0,749.0,697.0
240,724,689.0,756.0,737.0
241,727,669.0,802.0,734.0
242,730,662.0,790.0,730.0
243,733,679.0,847.0,740.0
244,736,676.0,854.0,806.0
245,739,691.0,774.0,744.0
246,742,691.0,782.0,741.0
247,745,686.0,820.0,732.0
248,748,675.0,807.0,744.0
249,751,693.0,836.0,798.0
250,754,683.0,804.0,779.0
251,757,700.0,830.0,757.0
252,760,685.0,883.0,745.0
253,763,694.0,819.0,750.0
254,766,715.0,844.0,759.0
255,769,708.0,825.0,775.0
256,772,705.0,837.0,759.0
257,775,720.0,831.0,765.0
258,778,724.0,860.0,806.0
259,781,716.0,803.0,752.0
260,784,713.0,871.0,740.0
261,787,713.0,867.0,780.0
262,790,731.0,865.0,782.0
263,793,755.0,880.0,856.0
264,796,728.0,868.0,799.0
265,799,744.0,900.0,810.0
266,802,747.0,860.0,804.0
267,805,743.0,848.0,774.0
268,808,733.0,898.0,831.0
269,811,762.0,911.0,847.0
270,814,760.0,890.0,808.0
271,817,773.0,894.0,838.0
272,820,752.0,877.0,799.0
273,823,756.0,911.0,838.0
274,826,769.0,860.0,810.0
275,829,765.0,868.0,815.0
276,832,748.0,968.0,841.0
277,835,777.0,938.0,878.0
278,838,762.0,945.0,859.0
279,841,782.0,935.0,884.0
280,844,746.0,890.0,762.0
281,847,790.0,939.0,891.0
282,850,783.0,954.0,837.0
283,853,784.0,864.0,830.0
284,856,803.0,934.0,891.0
285,859,783.0,961.0,848.0
286,862,806.0,934.0,877.0
287,865,803.0,943.0,853.0
288,868,837.0,975.0,928.0
289,871,805.0,903.0,853.0
290,874,829.0,933.0,892.0
291,877,799.0,923.0,878.0
292,880,794.0,1018.0,901.0
293,883,841.0,940.0,908.0
294,886,834.0,982.0,934.0
295,889,816.0,912.0,855.0
296,892,839.0,1013.0,937.0
297,895,835.0,953.0,893.0
298,898,851.0,972.0,912.0
299,901,833.0,982.0,864.0
300,904,844.0,1009.0,925.0
301,907,847.0,927.0,883.0
302,910,847.0,995.0,918.0
303,913,857.0,1008.0,911.0
304,916,869.0,1025.0,934.0
305,919,838.0,1021.0,954.0
306,922,845.0,989.0,890.0
307,925,876.0,1001.0,966.0
308,928,883.0,988.0,924.0
309,931,885.0,997.0,936.0
310,934,883.0,1090.0,1033.0
311,937,860.0,1025.0,947.0
312,940,861.0,1003.0,922.0
313,943,874.0,1041.0,940.0
314,946,881.0,1009.0,924.0
315,949,858.0,1053.0,988.0
316,952,892.0,1068.0,978.0
317,955,893.0,1008.0,960.0
318,958,866.0,1096.0,995.0
319,961,914.0,1027.0,975.0
320,964,923.0,1092.0,1027.0
321,967,888.0,1032.0,940.0
322,970,907.0,1049.0,972.0
323,973,898.0,1023.0,941.0
324,976,913.0,1145.0,1044.0
325,979,896.0,1050.0,945.0
326,982,901.0,1100.0,963.0
327,985,919.0,1038.0,993.0
328,988,935.0,1038.0,1002.0
329,991,906.0,1110.0,1015.0
330,994,939.0,1081.0,970.0
331,997,902.0,1163.0,1023.0
332,1000,936.0,1093.0,1031.0
333,1003,952.0,1084.0,1039.0
