,true,optimal,backpack,backpack_relaxed
0,3,3.0,3.0,3.0
1,5,7.0,6.0,6.0
2,7,9.0,8.0,8.0
3,9,11.0,10.0,10.0
4,11,12.0,12.0,12.0
5,13,15.0,14.0,14.0
6,15,16.0,16.0,16.0
7,17,19.0,19.0,19.0
8,19,20.0,21.0,21.0
9,21,24.0,24.0,24.0
10,23,25.0,26.0,26.0
11,25,28.0,27.0,27.0
12,27,29.0,29.0,29.0
13,29,30.0,32.0,32.0
14,31,34.0,35.0,35.0
15,33,34.0,39.0,39.0
16,35,37.0,38.0,38.0
17,37,39.0,41.0,41.0
18,39,40.0,43.0,43.0
19,41,44.0,43.0,43.0
20,43,46.0,47.0,47.0
21,45,48.0,48.0,48.0
22,47,48.0,52.0,52.0
23,49,50.0,54.0,54.0
24,51,53.0,56.0,56.0
25,53,55.0,57.0,57.0
26,55,57.0,60.0,60.0
27,57,60.0,61.0,61.0
28,59,60.0,62.0,62.0
29,61,64.0,66.0,66.0
30,63,65.0,71.0,71.0
31,65,66.0,76.0,76.0
32,67,68.0,73.0,73.0
33,69,70.0,77.0,77.0
34,71,72.0,83.0,83.0
35,73,75.0,86.0,86.0
36,75,76.0,77.0,77.0
37,77,79.0,84.0,84.0
38,79,81.0,89.0,89.0
39,81,83.0,86.0,86.0
40,83,84.0,88.0,88.0
41,85,88.0,96.0,96.0
42,87,89.0,96.0,96.0
43,89,91.0,99.0,99.0
44,91,93.0,100.0,100.0
45,93,95.0,106.0,106.0
46,95,96.0,101.0,101.0
47,97,98.0,103.0,103.0
48,99,100.0,114.0,114.0
49,101,103.0,113.0,113.0
50,103,104.0,116.0,116.0
51,105,106.0,114.0,114.0
52,107,109.0,114.0,114.0
53,109,110.0,118.0,118.0
54,111,112.0,124.0,124.0
55,113,115.0,124.0,124.0
56,115,117.0,123.0,123.0
57,117,119.0,123.0,123.0
58,119,120.0,124.0,124.0
59,121,124.0,131.0,131.0
60,123,125.0,137.0,137.0
61,125,127.0,143.0,143.0
62,127,128.0,144.0,144.0
63,129,131.0,142.0,142.0
64,131,133.0,138.0,138.0
65,133,135.0,153.0,153.0
66,135,137.0,158.0,158.0
67,137,139.0,157.0,157.0
68,139,141.0,150.0,150.0
69,141,142.0,151.0,151.0
70,143,145.0,147.0,147.0
71,145,147.0,161.0,161.0
72,147,149.0,165.0,165.0
73,149,151.0,162.0,162.0
74,151,152.0,159.0,159.0
75,153,155.0,161.0,161.0
76,155,157.0,172.0,172.0
77,157,159.0,180.0,180.0
78,159,160.0,165.0,165.0
79,161,163.0,183.0,183.0
80,163,165.0,190.0,190.0
81,165,167.0,191.0,191.0
82,167,169.0,178.0,178.0
83,169,172.0,184.0,184.0
84,171,173.0,192.0,192.0
85,173,174.0,184.0,184.0
86,175,176.0,196.0,196.0
87,177,180.0,186.0,186.0
88,179,182.0,199.0,199.0
89,181,183.0,205.0,205.0
90,183,185.0,203.0,203.0
91,185,187.0,206.0,206.0
92,187,189.0,198.0,198.0
93,189,191.0,220.0,220.0
94,191,194.0,193.0,193.0
95,193,194.0,216.0,216.0
96,195,198.0,216.0,216.0
97,197,200.0,228.0,228.0
98,199,201.0,228.0,228.0
99,201,203.0,211.0,211.0
100,203,205.0,231.0,231.0
101,205,208.0,234.0,234.0
102,207,209.0,220.0,220.0
103,209,211.0,230.0,230.0
104,211,214.0,238.0,238.0
105,213,216.0,226.0,226.0
106,215,217.0,241.0,241.0
107,217,218.0,238.0,238.0
108,219,222.0,241.0,241.0
109,221,223.0,246.0,246.0
110,223,224.0,237.0,237.0
111,225,228.0,252.0,252.0
112,227,229.0,265.0,265.0
113,229,231.0,248.0,248.0
114,231,231.0,240.0,240.0
115,233,236.0,253.0,253.0
116,235,239.0,272.0,272.0
117,237,239.0,261.0,261.0
118,239,241.0,253.0,253.0
119,241,242.0,268.0,268.0
120,243,245.0,269.0,269.0
121,245,247.0,269.0,269.0
122,247,249.0,264.0,264.0
123,249,251.0,276.0,276.0
124,251,253.0,283.0,283.0
125,253,256.0,270.0,270.0
126,255,256.0,294.0,294.0
127,257,259.0,292.0,292.0
128,259,261.0,273.0,273.0
129,261,264.0,297.0,297.0
130,263,265.0,294.0,294.0
131,265,267.0,308.0,308.0
132,267,269.0,296.0,296.0
133,269,271.0,309.0,309.0
134,271,273.0,301.0,301.0
135,273,274.0,293.0,293.0
136,275,277.0,304.0,304.0
137,277,279.0,294.0,294.0
138,279,281.0,296.0,296.0
139,281,284.0,307.0,307.0
140,283,285.0,299.0,299.0
141,285,287.0,320.0,320.0
142,287,289.0,298.0,298.0
143,289,290.0,330.0,330.0
144,291,293.0,295.0,295.0
145,293,294.0,320.0,320.0
146,295,297.0,318.0,318.0
147,297,300.0,327.0,327.0
148,299,301.0,331.0,331.0
149,301,303.0,353.0,353.0
150,303,305.0,321.0,321.0
151,305,306.0,356.0,356.0
152,307,310.0,339.0,339.0
153,309,312.0,342.0,342.0
154,311,314.0,357.0,357.0
155,313,315.0,342.0,342.0
156,315,316.0,349.0,349.0
157,317,319.0,337.0,337.0
158,319,321.0,348.0,348.0
159,321,323.0,329.0,329.0
160,323,325.0,377.0,377.0
161,325,326.0,357.0,357.0
162,327,330.0,365.0,365.0
163,329,330.0,356.0,356.0
164,331,334.0,358.0,358.0
165,333,336.0,373.0,373.0
166,335,337.0,342.0,342.0
167,337,338.0,392.0,392.0
168,339,340.0,367.0,367.0
169,341,343.0,365.0,365.0
170,343,344.0,381.0,381.0
171,345,347.0,371.0,371.0
172,347,349.0,405.0,405.0
173,349,351.0,371.0,371.0
174,351,353.0,381.0,381.0
175,353,354.0,366.0,366.0
176,355,356.0,370.0,370.0
177,357,359.0,381.0,381.0
178,359,361.0,391.0,391.0
179,361,363.0,392.0,392.0
180,363,365.0,393.0,393.0
181,365,367.0,419.0,419.0
182,367,368.0,403.0,403.0
183,369,371.0,408.0,408.0
184,371,373.0,416.0,416.0
185,373,376.0,393.0,393.0
186,375,377.0,428.0,428.0
187,377,378.0,423.0,423.0
188,379,381.0,408.0,408.0
189,381,383.0,413.0,413.0
190,383,385.0,408.0,408.0
191,385,387.0,418.0,418.0
192,387,390.0,446.0,446.0
193,389,390.0,432.0,432.0
194,391,393.0,450.0,450.0
195,393,395.0,432.0,432.0
196,395,397.0,460.0,460.0
197,397,399.0,432.0,432.0
198,399,401.0,450.0,450.0
199,401,403.0,457.0,457.0
200,403,404.0,458.0,458.0
201,405,407.0,470.0,470.0
202,407,408.0,439.0,439.0
203,409,411.0,450.0,450.0
204,411,413.0,430.0,430.0
205,413,415.0,436.0,436.0
206,415,418.0,476.0,476.0
207,417,418.0,446.0,446.0
208,419,420.0,454.0,454.0
209,421,423.0,473.0,473.0
210,423,425.0,445.0,445.0
211,425,427.0,463.0,463.0
212,427,429.0,447.0,447.0
213,429,430.0,465.0,465.0
214,431,434.0,458.0,458.0
215,433,434.0,442.0,442.0
216,435,437.0,473.0,473.0
217,437,439.0,507.0,507.0
218,439,441.0,484.0,484.0
219,441,444.0,478.0,478.0
220,443,446.0,492.0,492.0
221,445,447.0,508.0,508.0
222,447,448.0,493.0,493.0
223,449,451.0,496.0,496.0
224,451,453.0,494.0,494.0
225,453,455.0,499.0,499.0
226,455,458.0,477.0,477.0
227,457,459.0,504.0,504.0
228,459,460.0,490.0,490.0
229,461,463.0,493.0,493.0
230,463,464.0,515.0,515.0
231,465,467.0,495.0,495.0
232,467,469.0,526.0,526.0
233,469,471.0,537.0,537.0
234,471,473.0,506.0,506.0
235,473,473.0,546.0,546.0
236,475,476.0,525.0,525.0
237,477,478.0,531.0,531.0
238,479,481.0,527.0,527.0
239,481,484.0,525.0,525.0
240,483,486.0,517.0,517.0
241,485,487.0,566.0,566.0
242,487,489.0,542.0,542.0
243,489,491.0,544.0,544.0
244,491,493.0,517.0,517.0
245,493,495.0,540.0,540.0
246,495,497.0,508.0,508.0
247,497,499.0,552.0,552.0
248,499,500.0,544.0,544.0
249,501,503.0,549.0,549.0
250,503,505.0,543.0,543.0
251,505,507.0,549.0,549.0
252,507,510.0,556.0,556.0
253,509,511.0,567.0,567.0
254,511,513.0,559.0,559.0
255,513,514.0,535.0,535.0
256,515,517.0,565.0,565.0
257,517,519.0,562.0,562.0
258,519,521.0,587.0,587.0
259,521,523.0,580.0,580.0
260,523,524.0,554.0,554.0
261,525,527.0,561.0,561.0
262,527,529.0,607.0,607.0
263,529,530.0,572.0,572.0
264,531,533.0,577.0,577.0
265,533,535.0,588.0,588.0
266,535,538.0,578.0,578.0
267,537,538.0,611.0,611.0
268,539,541.0,566.0,566.0
269,541,543.0,586.0,586.0
270,543,544.0,593.0,593.0
271,545,547.0,638.0,638.0
272,547,549.0,582.0,582.0
273,549,551.0,610.0,610.0
274,551,554.0,608.0,608.0
275,553,555.0,589.0,589.0
276,555,557.0,589.0,589.0
277,557,558.0,599.0,599.0
278,559,561.0,599.0,599.0
279,561,563.0,618.0,618.0
280,563,565.0,604.0,604.0
281,565,567.0,638.0,638.0
282,567,569.0,616.0,616.0
283,569,571.0,638.0,638.0
284,571,573.0,639.0,639.0
285,573,575.0,655.0,655.0
286,575,576.0,629.0,629.0
287,577,578.0,671.0,671.0
288,579,580.0,633.0,633.0
289,581,583.0,666.0,666.0
290,583,585.0,645.0,645.0
291,585,587.0,667.0,667.0
292,587,589.0,645.0,645.0
293,589,591.0,631.0,631.0
294,591,593.0,627.0,627.0
295,593,595.0,687.0,687.0
296,595,598.0,693.0,693.0
297,597,599.0,691.0,691.0
298,599,602.0,663.0,663.0
299,601,604.0,659.0,659.0
300,603,605.0,676.0,676.0
301,605,606.0,671.0,671.0
302,607,609.0,635.0,635.0
303,609,611.0,687.0,687.0
304,611,612.0,690.0,690.0
305,613,614.0,661.0,661.0
306,615,617.0,641.0,641.0
307,617,619.0,692.0,692.0
308,619,621.0,663.0,663.0
309,621,623.0,695.0,695.0
310,623,625.0,696.0,696.0
311,625,626.0,684.0,684.0
312,627,628.0,691.0,691.0
313,629,631.0,732.0,732.0
314,631,633.0,671.0,671.0
315,633,636.0,685.0,685.0
316,635,638.0,692.0,692.0
317,637,639.0,684.0,684.0
318,639,641.0,682.0,682.0
319,641,642.0,705.0,705.0
320,643,644.0,701.0,701.0
321,645,648.0,692.0,692.0
322,647,649.0,727.0,727.0
323,649,651.0,686.0,686.0
324,651,653.0,667.0,667.0
325,653,655.0,737.0,737.0
326,655,656.0,717.0,717.0
327,657,660.0,716.0,716.0
328,659,661.0,684.0,684.0
329,661,664.0,756.0,756.0
330,663,664.0,696.0,696.0
331,665,668.0,711.0,711.0
332,667,669.0,739.0,739.0
333,669,671.0,708.0,708.0
334,671,673.0,771.0,771.0
335,673,676.0,744.0,744.0
336,675,678.0,778.0,778.0
337,677,679.0,704.0,704.0
338,679,681.0,751.0,751.0
339,681,684.0,799.0,799.0
340,683,685.0,757.0,757.0
341,685,686.0,746.0,746.0
342,687,689.0,800.0,800.0
343,689,691.0,804.0,804.0
344,691,693.0,753.0,753.0
345,693,695.0,767.0,767.0
346,695,698.0,719.0,719.0
347,697,699.0,742.0,742.0
348,699,700.0,737.0,737.0
349,701,702.0,776.0,776.0
