,true,optimal,backpack,backpack_relaxed
0,251,0.8865,0.0019,0.0019
1,501,0.8700,0.0078,0.0078
2,751,0.8854,0.0165,0.0164
3,1001,0.8421,0.0344,0.0329
4,1251,1.0293,0.0503,0.0500
5,1501,1.0177,0.0714,0.0705
6,1751,0.9704,0.1033,0.1040
7,2001,1.0126,0.1334,0.1335
8,2251,0.9080,0.1711,0.1723
9,2501,0.9511,0.2063,0.2019
10,2751,1.0651,0.2526,0.2522
11,3001,1.1078,0.2726,0.2782
12,3251,1.0638,0.3701,0.3756
13,3501,0.8525,0.3715,0.3715
14,3751,0.9038,0.3847,0.3851
15,4001,0.9496,0.4522,0.4551
16,4251,0.8739,0.6001,0.5954
17,4501,1.0133,0.6270,0.6305
18,4751,0.9458,0.7891,0.7837
19,5001,0.9250,0.7933,0.7906
20,5251,1.0677,0.9528,0.9442
21,5501,2.4703,0.9871,0.9730
22,5751,2.3907,1.1085,1.0989
23,6001,2.4610,1.1557,1.1804
24,6251,2.5226,1.1800,1.1480
25,6501,2.2150,1.3048,1.3038
26,6751,1.8612,1.4937,1.4966
27,7001,2.7100,1.4833,1.4902
28,7251,2.4181,1.8445,1.8219
29,7501,2.9817,1.7374,1.7358
30,7751,2.7993,2.0069,1.9965
31,8001,2.8139,2.1014,2.1079
32,8251,2.3810,2.3610,2.3852
33,8501,2.2497,2.1952,2.2227
34,8751,2.5250,2.3709,2.3559
35,9001,2.9002,2.5864,2.5044
36,9251,2.4862,2.7751,2.8120
37,9501,2.6113,2.6669,2.6397
38,9751,2.4349,2.9300,2.9514
39,10001,1.5691,3.2597,3.2435
40,10251,1.5490,3.3497,3.3657
41,10501,1.5827,3.8368,3.7984
42,10751,1.3266,4.0224,3.9948
43,11001,2.3407,3.8933,3.8917
44,11251,1.0479,4.4845,4.4942
45,11501,0.8997,4.2482,4.2714
46,11751,0.8427,4.2310,4.1831
47,12001,1.2075,4.7709,4.8554
48,12251,1.1004,5.3946,5.1206
49,12501,0.9233,4.9183,4.8247
50,12751,0.8784,5.3709,5.3474
51,13001,1.0984,5.5969,5.5405
52,13251,1.0112,7.0460,6.6219
53,13501,1.1295,5.9584,6.3090
54,13751,0.9497,6.1251,6.0825
55,14001,1.1263,6.6482,6.5898
56,14251,1.2638,6.8264,7.1215
57,14501,0.9285,7.0135,7.0288
58,14751,1.2899,7.0890,7.0360
59,15001,0.8716,8.3937,7.9364
60,15251,1.3950,6.5500,6.5070
61,15501,0.9134,7.4307,7.4005
62,15751,1.4773,7.9895,7.9897
63,16001,1.5512,8.2878,8.3051
64,16251,1.4828,7.8298,7.7558
65,16501,1.2652,8.9138,8.9771
66,16751,1.3826,9.2561,10.6107
67,17001,1.5419,8.9467,9.0427
68,17251,1.4153,9.0806,9.1836
69,17501,1.3625,9.4172,9.3998
70,17751,1.2724,11.0027,10.9774
71,18001,1.4753,10.2411,10.0604
72,18251,1.3266,10.1150,10.0800
73,18501,1.2553,9.8726,9.8626
74,18751,1.3421,10.6351,10.7124
75,19001,1.5376,11.7992,11.9149
76,19251,1.4255,11.7931,11.8341
77,19501,1.5976,11.5786,11.6923
78,19751,1.4496,13.8582,13.4282
79,20001,1.3713,14.2460,14.2477
