,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,29.7080,27.3269,0.0029,-1
1,501,27.7100,27.5706,0.0148,-1
2,751,37.2496,54.7278,0.0233,-1
3,1001,74.6011,42.5400,0.0626,-1
4,1251,37.6166,40.1768,0.0944,-1
5,1501,105.6761,33.1480,0.1342,-1
6,1751,31.9724,35.0297,0.1670,-1
7,2001,55.7172,31.3687,0.2491,-1
8,2251,84.3108,33.6309,0.2987,-1
9,2501,34.4504,30.8184,0.3679,-1
10,2751,29.9906,30.1801,0.3289,-1
11,3001,60.4670,32.8656,0.5920,-1
12,3251,30.6623,31.3633,0.4433,-1
13,3501,32.2007,31.3036,0.8060,-1
14,3751,72.1909,33.4851,0.6527,-1
15,4001,32.5904,32.0950,0.8201,-1
16,4251,35.2924,36.2421,0.7403,-1
17,4501,68.7502,50.3934,1.0511,-1
18,4751,40.6239,31.6543,1.2171,-1
19,5001,33.9779,32.9213,1.4765,-1
