,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,27.0157,31.2155,0.0043,0.0045
1,501,46.4202,50.5283,0.0155,0.0124
2,751,27.2800,30.4582,0.0326,0.0327
3,1001,69.9779,30.5302,0.0407,0.0399
4,1251,29.2735,29.8004,0.0685,0.0671
5,1501,29.5324,29.1165,0.1032,0.1023
6,1751,29.4606,64.7929,0.1526,0.1533
7,2001,31.8344,29.7027,0.1932,0.1931
8,2251,33.3957,31.2549,0.3136,0.3146
9,2501,33.9197,31.0419,0.3949,0.3952
10,2751,93.2776,39.2724,0.4693,0.4882
11,3001,32.8084,33.0147,0.6415,0.6454
12,3251,35.1252,58.5776,0.7794,0.7776
13,3501,29.9593,31.4088,0.5329,0.5366
14,3751,30.4901,34.8188,0.8317,0.8165
15,4001,34.5440,63.0931,0.9993,1.0020
16,4251,37.4523,39.5127,0.8265,0.8097
17,4501,36.6694,39.3523,0.9243,0.9169
18,4751,35.6858,62.6739,1.4217,1.4529
19,5001,33.4933,35.8876,1.6821,1.7240
