,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,251,0.4902,0.8748,0.0021,0.0021
1,501,0.3752,0.8195,0.0081,0.0081
2,751,0.3208,0.9232,0.0175,0.0175
3,1001,0.8774,1.1971,0.0329,0.0329
4,1251,0.3815,0.7873,0.0533,0.0533
5,1501,0.3194,0.7432,0.0722,0.0722
6,1751,0.4334,0.8024,0.0946,0.0946
7,2001,0.3611,0.862,0.1209,0.1209
8,2251,0.3302,0.9859,0.1568,0.1568
9,2501,0.3157,1.1803,0.2216,0.2216
10,2751,0.3149,0.8483,0.2291,0.2291
11,3001,0.3421,0.7811,0.3028,0.3028
12,3251,0.3211,0.913,0.3238,0.3238
13,3501,0.3622,1.085,0.3823,0.3823
14,3751,0.4021,0.9747,0.4964,0.4964
15,4001,0.4002,1.2196,0.5144,0.5144
16,4251,0.3843,0.9304,0.5806,0.5806
17,4501,0.3592,0.9035,0.606,0.606
18,4751,0.5232,1.2731,0.7746,0.7746
19,5001,0.3368,1.3565,0.8207,0.8207
20,5251,0.6434,1.1396,1.0157,1.0157
21,5501,0.4005,1.4515,0.8668,0.8668
22,5751,0.4066,0.7973,1.0271,1.0271
23,6001,0.3331,1.0942,1.1474,1.1474
24,6251,0.5542,1.0972,1.2657,1.2657
25,6501,0.7238,1.2616,1.494,1.494
26,6751,0.3581,0.9697,1.4876,1.4876
27,7001,0.7585,1.0192,1.6873,1.6873
28,7251,0.4197,1.1748,1.721,1.721
29,7501,0.3604,0.8641,1.7925,1.7925
30,7751,0.4499,0.9576,2.0027,2.0027
31,8001,0.5206,1.0739,2.0134,2.0134
32,8251,0.3501,1.1644,1.8419,1.8419
33,8501,0.3661,0.8421,2.2214,2.2214
34,8751,0.33,0.9291,2.6563,2.6563
35,9001,0.342,0.908,2.8033,2.8033
36,9251,0.3653,0.966,2.5519,2.5519
37,9501,0.4228,1.0996,2.9724,2.9724
38,9751,1.163,0.8991,3.0861,3.0861
39,10001,0.4206,0.9939,3.4974,3.4974
40,10251,0.4516,1.1105,3.7947,3.7947
41,10501,0.4879,0.8935,3.9383,3.9383
42,10751,0.3332,0.8251,4.0663,4.0663
43,11001,0.615,0.8181,4.0706,4.0706
44,11251,0.414,1.1446,3.9975,3.9975
45,11501,0.5571,0.8993,4.5971,4.5971
46,11751,0.3427,1.1174,4.8267,4.8267
47,12001,0.7359,1.2227,4.6946,4.6946
48,12251,0.3149,0.8211,5.3385,5.3385
49,12501,0.3637,1.043,5.1626,5.1626
50,12751,0.3372,1.3523,4.8231,4.8231
51,13001,0.6128,0.8439,5.5325,5.5325
52,13251,0.3307,0.805,5.1692,5.1692
53,13501,0.3474,0.7512,5.6868,5.6868
54,13751,0.3294,0.9116,6.0396,6.0396
55,14001,0.6316,0.9219,6.8624,6.8624
56,14251,0.4155,1.0099,7.1191,7.1191
57,14501,0.3891,0.921,7.4661,7.4661
58,14751,0.6573,0.9024,7.0495,7.0495
59,15001,0.5806,1.9344,7.3483,7.3483
60,15251,0.4283,0.8141,8.2013,8.2013
61,15501,0.5894,0.8033,8.0256,8.0256
62,15751,0.3359,0.7641,8.3634,8.3634
63,16001,0.4644,1.1953,8.3024,8.3024
64,16251,0.7484,1.0097,8.1809,8.181
65,16501,0.6492,1.5336,9.0683,9.0683
66,16751,0.5992,1.5209,9.6394,9.6394
67,17001,0.6634,1.0492,10.229,10.229
68,17251,0.8474,2.4579,10.3419,10.3419
69,17501,0.324,0.8112,11.1665,11.1665
70,17751,0.4882,1.0303,9.787,9.787
71,18001,0.3572,0.8328,10.5759,10.5759
72,18251,0.4319,0.8221,11.8792,11.8792
73,18501,0.3446,0.8535,12.1334,12.1334
74,18751,0.4846,1.2053,11.0822,11.0822
75,19001,0.3708,0.9006,11.2209,11.2209
76,19251,0.4416,0.9329,11.8593,11.8593
77,19501,0.3397,0.825,12.6727,12.6727
78,19751,0.4843,0.782,12.6072,12.6072
79,20001,0.34,0.8915,13.0978,13.0978
