,true,optimal,optimal_relaxed,backpack,backpack_relaxed
0,501,20.3420,29.4074,0.0138,0.0138
1,1001,23.9118,30.3820,0.0743,0.0743
2,1501,20.0660,29.6324,0.1491,0.1491
3,2001,20.2154,34.0472,0.1959,0.1959
4,2501,26.3897,30.5272,0.3081,0.3081
5,3001,20.5138,32.6177,0.6068,0.6068
6,3501,21.0862,29.9296,0.6941,0.6941
7,4001,20.5328,32.0967,1.1141,1.1141
8,4501,19.8358,38.1657,0.9766,0.9766
9,5001,20.7216,32.5531,1.1672,1.1672
10,5501,22.2210,30.6677,1.7062,1.7063
11,6001,21.6490,34.0830,2.6025,2.6025
12,6501,20.7780,28.2163,1.9012,1.9012
13,7001,29.8291,41.6467,2.8349,2.8349
14,7501,22.8055,40.5558,3.1515,3.1516
15,8001,23.0587,35.4553,3.6290,3.6290
16,8501,25.4129,36.8165,3.4332,3.4332
17,9001,23.4521,42.2572,5.7181,5.7181
18,9501,23.5883,36.2191,4.8396,4.8397
