,optimal,backpack,backpack_relaxed
0,0.3297,0.0000,0.0000
1,0.3576,0.0000,0.0000
2,1.8046,0.0000,0.0000
3,4.2609,0.0001,0.0001
4,2.0536,0.0001,0.0001
5,0.3670,0.0001,0.0001
6,0.3601,0.0002,0.0002
7,0.3488,0.0002,0.0002
8,0.3553,0.0002,0.0002
9,0.3569,0.0003,0.0003
10,2.5939,0.0003,0.0003
11,9.8955,0.0004,0.0004
12,8.0842,0.0019,0.0014
13,5.2498,0.0005,0.0005
14,7.0412,0.0006,0.0006
15,6.6563,0.0007,0.0006
16,5.2809,0.0007,0.0007
17,7.5201,0.0008,0.0008
18,7.7353,0.0014,0.0013
19,4.2350,0.0011,0.0011
20,3.1275,0.0042,0.0027
21,1.3785,0.0011,0.0011
22,12.6251,0.0012,0.0012
23,5.7165,0.0014,0.0022
24,4.3474,0.0014,0.0014
25,1.2987,0.0017,0.0015
26,2.2945,0.0020,0.0025
27,1.5485,0.0021,0.0024
28,1.6761,0.0026,0.0029
29,1.0174,0.0022,0.0022
30,13.2343,0.0021,0.0021
31,1.2558,0.0025,0.0028
32,1.0084,0.0025,0.0026
33,8.3789,0.0027,0.0027
34,7.0776,0.0055,0.0041
35,5.9489,0.0035,0.0042
36,1.4732,0.0031,0.0033
37,1.3745,0.0035,0.0045
38,8.9049,0.0070,0.0039
39,12.3953,0.0035,0.0040
40,5.8521,0.0039,0.0039
41,5.0236,0.0045,0.0057
42,5.1106,0.0045,0.0053
43,4.3356,0.0063,0.0061
44,1.1082,0.0059,0.0077
45,1.3038,0.0053,0.0063
46,9.5803,0.0055,0.0070
47,8.2371,0.0067,0.0061
48,2.7423,0.0063,0.0057
49,0.9051,0.0060,0.0060
50,1.2809,0.0073,0.0086
51,14.4096,0.0064,0.0064
52,9.7013,0.0106,0.0092
53,5.9430,0.0069,0.0087
54,1.5269,0.0098,0.0105
55,1.2878,0.0093,0.0091
56,1.4653,0.0093,0.0104
57,8.1434,0.0090,0.0089
58,11.7303,0.0094,0.0079
59,12.8987,0.0129,0.0113
60,10.9456,0.0095,0.0109
61,8.5317,0.0086,0.0086
62,6.9634,0.0110,0.0118
63,4.1184,0.0098,0.0127
64,1.4943,0.0118,0.0140
65,10.0201,0.0106,0.0125
66,8.4940,0.0121,0.0145
67,4.9120,0.0174,0.0124
68,2.8453,0.0123,0.0140
69,0.9617,0.0189,0.0163
70,1.4528,0.0116,0.0166
71,1.3890,0.0170,0.0179
72,1.2838,0.0178,0.0158
73,10.6419,0.0150,0.0153
74,8.2977,0.0148,0.0173
75,8.2208,0.0151,0.0174
76,6.9144,0.0175,0.0178
77,3.1372,0.0195,0.0193
78,1.5075,0.0172,0.0179
79,8.4572,0.0170,0.0180
80,10.0156,0.0160,0.0177
81,6.2944,0.0150,0.0150
82,6.4459,0.0192,0.0209
83,1.0878,0.0213,0.0214
84,1.1723,0.0204,0.0210
85,11.9548,0.0219,0.0209
86,9.3945,0.0239,0.0226
87,6.4749,0.0260,0.0269
88,4.9591,0.0239,0.0245
89,1.3052,0.0235,0.0271
90,1.6479,0.0224,0.0245
91,11.1267,0.0220,0.0218
92,5.2397,0.0257,0.0259
93,4.2541,0.0265,0.0273
94,0.9523,0.0293,0.0387
95,12.5001,0.0247,0.0255
96,9.6047,0.0233,0.0224
97,6.7543,0.0296,0.0295
98,6.8835,0.0303,0.0291
99,4.6976,0.0312,0.0314
