,optimal,backpack,backpack_relaxed
0,0.6259,0.0001,0.0001
1,0.7528,0.0001,0.0001
2,1.7598,0.0001,0.0001
3,5.3960,0.0001,0.0001
4,6.0189,0.0001,0.0001
5,0.9722,0.0001,0.0001
6,1.9676,0.0002,0.0002
7,0.8798,0.0002,0.0002
8,1.4808,0.0003,0.0002
9,1.0682,0.0003,0.0003
10,1.6036,0.0004,0.0003
11,1.5599,0.0004,0.0004
12,0.9461,0.0005,0.0005
13,1.6039,0.0006,0.0005
14,0.9815,0.0006,0.0006
15,1.6543,0.0007,0.0006
16,1.0221,0.0008,0.0007
17,1.6215,0.0009,0.0008
18,0.9306,0.0010,0.0009
19,1.5382,0.0011,0.0010
20,0.9171,0.0012,0.0011
21,1.6526,0.0013,0.0012
22,1.5220,0.0014,0.0013
23,1.1112,0.0015,0.0014
24,1.5782,0.0016,0.0015
25,0.9560,0.0017,0.0016
26,1.5518,0.0019,0.0017
27,0.9393,0.0019,0.0018
28,1.6583,0.0021,0.0019
29,1.1043,0.0022,0.0021
30,1.5694,0.0024,0.0022
31,1.6543,0.0026,0.0024
32,1.0462,0.0028,0.0025
33,1.6704,0.0029,0.0027
34,1.1140,0.0030,0.0028
35,1.5966,0.0033,0.0030
36,6.3990,0.0033,0.0031
37,13.2251,0.0041,0.0040
38,13.3740,0.0046,0.0045
39,11.8875,0.0058,0.0046
40,0.9474,0.0041,0.0039
41,1.6344,0.0042,0.0039
42,0.9399,0.0045,0.0041
43,1.5784,0.0047,0.0043
44,1.0129,0.0049,0.0046
45,1.6489,0.0051,0.0047
46,1.0505,0.0054,0.0049
47,1.6272,0.0055,0.0050
48,1.5624,0.0059,0.0054
49,0.9663,0.0061,0.0057
50,1.6003,0.0062,0.0056
51,0.9956,0.0066,0.0061
52,1.6279,0.0069,0.0063
53,0.9947,0.0070,0.0064
54,1.5534,0.0072,0.0067
55,1.0390,0.0080,0.0071
56,1.6608,0.0083,0.0078
57,1.4975,0.0081,0.0076
58,0.9424,0.0082,0.0076
59,1.5964,0.0086,0.0080
60,0.9957,0.0089,0.0082
61,1.5661,0.0093,0.0085
62,0.9720,0.0096,0.0088
63,1.6389,0.0102,0.0095
64,1.0596,0.0103,0.0093
65,1.5237,0.0121,0.0103
66,1.7145,0.0110,0.0101
67,1.0459,0.0110,0.0100
68,1.5432,0.0112,0.0104
69,1.0623,0.0117,0.0110
70,2.3405,0.0120,0.0110
71,1.8155,0.0126,0.0116
72,1.7379,0.0128,0.0117
73,1.2579,0.0137,0.0124
74,1.5807,0.0139,0.0127
75,0.9310,0.0140,0.0129
76,1.5482,0.0145,0.0133
77,1.5361,0.0149,0.0136
78,0.9430,0.0160,0.0145
79,1.5235,0.0155,0.0144
80,0.9483,0.0156,0.0142
81,1.5077,0.0160,0.0148
82,0.9536,0.0164,0.0149
83,1.5248,0.0167,0.0154
84,0.9415,0.0175,0.0163
85,1.6215,0.0177,0.0162
86,0.9392,0.0178,0.0163
87,1.5059,0.0189,0.0171
88,0.9527,0.0190,0.0172
89,1.6644,0.0196,0.0179
90,1.6040,0.0198,0.0179
91,1.0065,0.0198,0.0182
92,1.5406,0.0202,0.0188
93,1.0930,0.0208,0.0191
94,1.9034,0.0220,0.0198
95,1.6905,0.0219,0.0204
96,1.0668,0.0226,0.0205
97,1.7222,0.0224,0.0207
98,1.6380,0.0240,0.0217
99,2.0506,0.0246,0.0228
