,true,optimal,backpack,backpack_relaxed
0,4,1.1947,0.0000,0.0000
1,7,5.4788,0.0000,0.0000
2,10,3.4111,0.0000,0.0000
3,13,10.3743,0.0000,0.0000
4,16,5.5293,0.0000,0.0000
5,19,7.6796,0.0000,0.0000
6,22,3.5730,0.0001,0.0000
7,25,1.6692,0.0001,0.0000
8,28,4.3134,0.0001,0.0000
9,31,6.0426,0.0001,0.0000
10,34,10.8663,0.0001,0.0001
11,37,9.4098,0.0001,0.0001
12,40,3.9287,0.0001,0.0001
13,43,15.4284,0.0001,0.0001
14,46,10.3792,0.0001,0.0001
15,49,6.7452,0.0001,0.0001
16,52,13.2143,0.0001,0.0001
17,55,35.8630,0.0002,0.0001
18,58,6.4717,0.0001,0.0001
19,61,4.8548,0.0002,0.0001
20,64,12.0771,0.0002,0.0002
21,67,17.4845,0.0001,0.0001
22,70,14.5355,0.0002,0.0002
23,73,12.3327,0.0002,0.0002
24,76,6.9368,0.0002,0.0002
25,79,5.1162,0.0002,0.0002
26,82,8.8854,0.0002,0.0002
27,85,6.7292,0.0002,0.0002
28,88,5.6883,0.0003,0.0002
29,91,13.5070,0.0003,0.0003
30,94,9.7683,0.0002,0.0002
31,97,15.5765,0.0004,0.0003
32,100,11.6304,0.0003,0.0002
33,103,6.3404,0.0004,0.0003
34,106,7.7015,0.0003,0.0003
35,109,7.7921,0.0003,0.0003
36,112,5.5193,0.0005,0.0004
37,115,10.3353,0.0003,0.0003
38,118,7.8159,0.0004,0.0004
39,121,5.6785,0.0005,0.0005
40,124,34.3751,0.0007,0.0008
41,127,13.8908,0.0004,0.0004
42,130,24.1309,0.0006,0.0005
43,133,1.3987,0.0006,0.0005
44,136,3.4161,0.0004,0.0004
45,139,10.6688,0.0004,0.0004
46,142,16.9538,0.0007,0.0007
47,145,15.6556,0.0006,0.0005
48,148,18.2622,0.0006,0.0005
49,151,11.0985,0.0008,0.0006
50,154,22.4901,0.0007,0.0006
51,157,14.0747,0.0006,0.0005
52,160,7.7028,0.0008,0.0007
53,163,15.0895,0.0007,0.0007
54,166,10.0083,0.0006,0.0006
55,169,15.3460,0.0007,0.0007
56,172,6.6199,0.0007,0.0007
57,175,9.5623,0.0007,0.0006
58,178,22.1656,0.0008,0.0007
59,181,15.0543,0.0015,0.0011
60,184,6.6253,0.0010,0.0009
61,187,19.7936,0.0011,0.0010
62,190,8.0949,0.0009,0.0008
63,193,12.0002,0.0009,0.0008
64,196,12.8539,0.0012,0.0010
65,199,4.7386,0.0009,0.0009
66,202,16.7830,0.0012,0.0012
67,205,6.5150,0.0013,0.0011
68,208,17.2850,0.0014,0.0013
69,211,7.4452,0.0012,0.0010
70,214,14.2950,0.0013,0.0011
71,217,17.9892,0.0011,0.0010
72,220,8.1234,0.0014,0.0013
73,223,9.0178,0.0013,0.0012
74,226,8.5282,0.0016,0.0015
75,229,13.6005,0.0012,0.0011
76,232,12.7460,0.0018,0.0017
77,235,25.5648,0.0013,0.0012
78,238,8.0683,0.0014,0.0013
79,241,21.7626,0.0015,0.0018
80,244,6.1755,0.0017,0.0017
81,247,13.9749,0.0016,0.0014
82,250,18.8560,0.0022,0.0019
83,253,20.7571,0.0021,0.0019
84,256,18.5257,0.0017,0.0014
85,259,20.8195,0.0015,0.0015
86,262,7.1629,0.0017,0.0016
87,265,13.0576,0.0016,0.0014
88,268,14.3794,0.0018,0.0017
89,271,10.5007,0.0022,0.0050
90,274,15.5577,0.0016,0.0016
91,277,28.0584,0.0017,0.0014
92,280,13.5815,0.0020,0.0016
93,283,9.4447,0.0019,0.0018
94,286,13.8980,0.0020,0.0020
95,289,14.3798,0.0019,0.0017
96,292,5.6847,0.0028,0.0026
97,295,12.4511,0.0029,0.0028
98,298,15.8905,0.0020,0.0019
99,301,13.5912,0.0023,0.0021
100,304,18.0289,0.0017,0.0019
101,307,14.9664,0.0023,0.0021
102,310,17.1522,0.0023,0.0021
103,313,3.6078,0.0019,0.0017
104,316,16.9955,0.0024,0.0023
105,319,6.8739,0.0022,0.0020
106,322,9.1277,0.0045,0.0041
107,325,11.0702,0.0029,0.0027
108,328,13.4865,0.0031,0.0025
109,331,12.2519,0.0029,0.0024
110,334,15.4002,0.0023,0.0021
111,337,28.0716,0.0030,0.0027
112,340,12.9490,0.0025,0.0024
113,343,10.1063,0.0038,0.0037
114,346,13.8838,0.0032,0.0038
115,349,2.8267,0.0027,0.0026
116,352,17.5134,0.0032,0.0028
117,355,27.7822,0.0145,0.0407
118,358,10.2150,0.0027,0.0038
119,361,3.9982,0.0030,0.0026
120,364,9.0141,0.0061,0.0040
121,367,7.8031,0.0039,0.0034
122,370,24.9512,0.0030,0.0031
123,373,4.4203,0.0032,0.0027
124,376,3.9054,0.0034,0.0030
125,379,14.8396,0.0070,0.0056
126,382,11.4597,0.0033,0.0029
127,385,12.1440,0.0035,0.0034
128,388,10.0142,0.0040,0.0038
129,391,8.8611,0.0055,0.0047
130,394,30.6063,0.0040,0.0037
131,397,13.2316,0.0058,0.0051
132,400,21.6517,0.0055,0.0045
133,403,9.6337,0.0036,0.0034
134,406,17.2046,0.0038,0.0035
135,409,21.6359,0.0038,0.0044
136,412,10.4420,0.0045,0.0040
137,415,11.8792,0.0038,0.0035
138,418,5.2444,0.0041,0.0041
139,421,12.6443,0.0039,0.0037
140,424,18.5218,0.0055,0.0294
141,427,14.4988,0.0041,0.0036
142,430,5.1879,0.0059,0.0048
143,433,12.8934,0.0046,0.0045
144,436,14.7902,0.0145,0.0062
145,439,15.1713,0.0041,0.0035
146,442,16.1658,0.0047,0.0045
147,445,20.4777,0.0046,0.0041
148,448,16.2455,0.0045,0.0043
149,451,4.5900,0.0046,0.0041
150,454,4.9758,0.0046,0.0042
151,457,14.4868,0.0045,0.0043
152,460,15.6003,0.0059,0.0049
153,463,21.6244,0.0057,0.0063
154,466,15.9073,0.0052,0.0049
155,469,5.1840,0.0047,0.0043
156,472,7.1830,0.0050,0.0068
157,475,6.4126,0.0121,0.0097
158,478,4.1923,0.0047,0.0044
159,481,3.3110,0.0056,0.0049
160,484,13.8337,0.0041,0.0039
161,487,3.0376,0.0072,0.0108
162,490,14.0922,0.0057,0.0053
163,493,27.4753,0.0069,0.0069
164,496,4.1982,0.0068,0.0058
165,499,8.4259,0.0048,0.0042
166,502,11.4420,0.0058,0.0055
167,505,6.4408,0.0058,0.0053
168,508,8.7729,0.0067,0.0063
169,511,21.0510,0.0065,0.0059
170,514,12.6079,0.0062,0.0059
171,517,9.3640,0.0060,0.0054
172,520,14.4637,0.0077,0.0073
173,523,13.2066,0.0067,0.0079
174,526,8.1022,0.0072,0.0070
175,529,10.6381,0.0065,0.0062
176,532,8.7944,0.0088,0.0089
177,535,8.7136,0.0073,0.0065
178,538,17.3706,0.0061,0.0060
179,541,4.9996,0.0068,0.0059
180,544,11.0934,0.0062,0.0064
181,547,12.0029,0.0084,0.0077
182,550,7.3642,0.0059,0.0053
183,553,23.0796,0.0062,0.0061
184,556,8.9824,0.0071,0.0069
185,559,13.3401,0.0074,0.0067
186,562,32.6341,0.0079,0.0077
187,565,24.9165,0.0091,0.0081
188,568,3.5208,0.0070,0.0060
189,571,16.7243,0.0068,0.0059
190,574,8.0811,0.0074,0.0066
191,577,12.0070,0.0072,0.0078
192,580,2.9990,0.0090,0.0075
193,583,8.6044,0.0092,0.0124
194,586,11.5251,0.0236,0.0126
195,589,9.8373,0.0072,0.0071
196,592,13.3136,0.0100,0.0096
197,595,10.4988,0.0070,0.0066
198,598,19.1349,0.0084,0.0077
199,601,4.9521,0.0090,0.0085
200,604,20.0894,0.0124,0.0103
201,607,9.3602,0.0079,0.0082
202,610,14.4914,0.0082,0.0075
203,613,5.2726,0.0091,0.0076
204,616,13.0988,0.0088,0.0090
205,619,12.1545,0.0086,0.0091
206,622,15.8774,0.0109,0.0110
207,625,34.3699,0.0095,0.0093
208,628,12.3349,0.0087,0.0080
209,631,6.3415,0.0109,0.0107
210,634,3.5453,0.0083,0.0103
211,637,12.4119,0.0080,0.0074
212,640,11.3475,0.0092,0.0086
213,643,11.5608,0.0134,0.0111
214,646,11.8278,0.0107,0.0101
215,649,14.4399,0.0115,0.0101
216,652,8.5447,0.0099,0.0085
217,655,7.9130,0.0187,0.0131
218,658,20.6578,0.0099,0.0098
219,661,11.3544,0.0121,0.0111
220,664,8.6362,0.0104,0.0092
221,667,26.3827,0.0116,0.0108
222,670,6.3041,0.0171,0.0132
223,673,17.1307,0.0112,0.0119
224,676,24.8034,0.0103,0.0096
225,679,13.9997,0.0092,0.0088
226,682,14.3887,0.0118,0.0106
227,685,24.4734,0.0261,0.0138
228,688,10.5917,0.0119,0.0157
229,691,24.0224,0.0100,0.0095
230,694,14.7560,0.0114,0.0107
231,697,15.2772,0.0202,0.0174
232,700,25.3780,0.0121,0.0120
233,703,25.0368,0.0108,0.0106
234,706,11.5959,0.0099,0.0109
235,709,23.4994,0.0203,0.0184
236,712,22.7022,0.0095,0.0123
237,715,13.3350,0.0126,0.0124
